# TimeStamp   : 2020-02-23 22:31:18
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>    
#     </Input>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
       36,   7380.00,    205.00,      3.42,      6.90,      0.67,      2.78,           1,           0,           5,           1,           0,          39,           0,           2,           0, 
       40,   9420.00,    235.50,      3.32,      7.60,      0.75,      2.46,           1,           0,           7,           1,           0,          26,           0,           3,           0, 
       61,  14130.00,    231.64,      3.05,      7.68,      1.01,      2.45,           1,           0,           6,           1,           0,          22,           0,           4,           0, 
       83,  12830.00,    154.58,      2.18,      4.70,      0.48,      2.24,           1,           0,           1,           1,           0,          36,           0,           3,           0, 
      116,  15280.00,    131.72,      1.85,      4.79,      0.35,      2.19,           1,           0,           4,           1,           0,          36,           0,           1,           0, 
      108,  13400.00,    124.07,      1.90,      4.16,      0.37,      2.11,           1,           0,           4,           1,           0,           9,           0,           3,           0, 
       88,  10800.00,    122.73,      1.99,      3.53,      0.44,      2.10,           1,           0,           3,           1,           0,          36,           0,           3,           0, 
       40,   7090.00,    177.25,      2.72,      5.72,      0.60,      2.07,           1,           0,           7,           1,           0,          25,           0,           3,           0, 
      147,  15590.00,    106.05,      1.70,      4.15,      0.30,      1.97,           1,           0,           3,           1,           0,          33,           0,           3,           0, 
      118,  13790.00,    116.86,      1.73,      2.68,      0.33,      1.94,           1,           0,           1,           1,           0,          35,           0,           3,           0, 
      145,  15010.00,    103.52,      1.67,      4.28,      0.30,      1.94,           1,           0,           1,           1,           0,          33,           0,           3,           0, 
>      408,  29890.00,     73.26,      1.30,      3.71,      0.13,      1.93,           1,           0,           5,           2,           0,          25,           0,           2,           0, 
       51,   9530.00,    186.86,      2.48,      5.88,      0.67,      1.93,           1,           0,           6,           1,           0,          10,           0,           4,           0, 
       58,  10610.00,    182.93,      2.38,      4.91,      0.55,      1.93,           1,           0,           5,           1,           0,          10,           0,           4,           0, 
       31,   4260.00,    137.42,      2.55,      4.73,      0.55,      1.88,           1,           0,           4,           2,           0,          39,           0,           1,           0, 
       34,   5710.00,    167.94,      2.28,      4.53,      0.45,      1.88,           1,           0,           8,           1,           0,          33,           0,           1,           0, 
       58,  10600.00,    182.76,      2.41,      6.16,      0.71,      1.87,           1,           0,           6,           1,           0,          15,           0,           4,           0, 
      145,  17130.00,    118.14,      1.58,      2.17,      0.24,      1.87,           1,           0,           4,           2,           0,          36,           0,           2,           0, 
      120,  13860.00,    115.50,      1.67,      2.63,      0.30,      1.87,           1,           0,           6,           1,           0,          35,           0,           3,           0, 
      183,  18270.00,     99.84,      1.47,      3.03,      0.21,      1.87,           1,           0,           5,           1,           0,          36,           0,           2,           0, 
       30,   4050.00,    135.00,      2.63,      4.71,      0.60,      1.86,           1,           0,           4,           2,           0,          39,           0,           2,           0, 
      141,  15480.00,    109.79,      1.56,      2.90,      0.23,      1.86,           1,           0,           4,           2,           0,          36,           0,           3,           0, 
      237,  17460.00,     73.67,      1.49,      2.03,      0.24,      1.86,           1,           0,           1,           1,           0,          10,           0,           3,           0, 
       47,   8760.00,    186.38,      2.45,      6.39,      0.59,      1.86,           1,           0,           4,           1,           0,          26,           0,           3,           0, 
       41,   9080.00,    221.46,      3.01,      4.17,      0.69,      1.86,           1,           0,           8,           1,           0,          10,           0,           3,           0, 
      148,  16550.00,    111.82,      1.56,      2.27,      0.23,      1.85,           1,           0,           4,           2,           0,          36,           0,           1,           0, 
      390,  28040.00,     71.90,      1.30,      3.26,      0.13,      1.85,           1,           0,           5,           2,           0,          25,           0,           3,           0, 
       53,   8200.00,    154.72,      2.36,      5.73,      0.56,      1.82,           1,           0,           4,           1,           0,          35,           0,           3,           0, 
       45,  10130.00,    225.11,      2.58,      3.54,      0.77,      1.82,           1,           0,           6,           1,           0,          50,           0,           4,           0, 
       34,   7710.00,    226.76,      2.33,      1.63,      0.55,      1.81,           1,           0,           7,           1,           0,          36,           0,           1,           0, 
       65,   9040.00,    139.08,      2.20,      6.60,      0.52,      1.80,           1,           0,           4,           1,           0,          33,           0,           3,           0, 
>      164,  18030.00,    109.94,      1.53,      4.97,      0.21,      1.80,           1,           0,           4,           2,           0,          26,           0,           3,           0, 
      241,  19060.00,     79.09,      1.47,      2.36,      0.22,      1.79,           1,           0,           3,           1,           0,          10,           0,           3,           0, 
      107,  12600.00,    117.76,      1.82,      3.35,      0.36,      1.79,           1,           0,           4,           1,           0,          10,           0,           3,           0, 
       65,   9870.00,    151.85,      2.12,      4.27,      0.53,      1.78,           1,           0,           3,           1,           0,          22,           0,           4,           0, 
       91,  11000.00,    120.88,      1.78,      3.64,      0.35,      1.77,           1,           0,           6,           1,           0,          36,           0,           3,           0, 
      153,  14580.00,     95.29,      1.54,      2.68,      0.22,      1.76,           1,           0,           6,           1,           0,          33,           0,           3,           0, 
       46,   6630.00,    144.13,      1.95,      4.70,      0.35,      1.73,           1,           0,           5,           2,           0,          39,           0,           5,           0, 
       36,   5120.00,    142.22,      2.14,      2.18,      0.41,      1.72,           1,           0,           8,           2,           0,          46,           0,           4,           0, 
       30,   8700.00,    290.00,      3.06,      3.92,      0.89,      1.72,           1,           0,           5,           1,           0,          29,           0,           4,           0, 
       57,   9340.00,    163.86,      2.26,      4.84,      0.62,      1.71,           1,           0,           1,           1,           0,          14,           0,           4,           0, 
       61,  10480.00,    171.80,      2.14,      2.86,      0.58,      1.71,           1,           0,           6,           1,           0,          14,           0,           4,           0, 
       59,   8150.00,    138.14,      2.08,      4.08,      0.49,      1.70,           1,           0,           3,           1,           0,           8,           0,           4,           0, 
       65,   9390.00,    144.46,      2.05,      3.96,      0.52,      1.69,           1,           0,           3,           1,           0,          14,           0,           4,           0, 
       38,   6960.00,    183.16,      2.67,      3.76,      0.84,      1.67,           1,           0,           3,           1,           0,          26,           0,           4,           0, 
      175,  16350.00,     93.43,      1.47,      4.57,      0.18,      1.67,           1,           0,           4,           2,           0,          25,           0,           3,           0, 
