# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
       65,  10290.00,    158.31,      2.78,      9.99,      0.80,      2.98,           2,           0,           4,           1,           0,           0,          33,           3,           0,
       43,  11790.00,    274.19,      3.51,      7.32,      0.76,      2.66,           2,           0,           8,           2,           0,           0,          45,           4,           0,
      110,  15240.00,    138.55,      2.17,      8.19,      0.52,      2.62,           2,           0,           4,           1,           0,           0,           9,           3,           0,
>      407,  45890.00,    112.75,      1.44,      3.89,      0.19,      2.48,           2,           0,           3,           2,           0,           0,          20,           3,           0,
       93,  19700.00,    211.83,      2.00,      4.55,      0.41,      2.45,           2,           0,           1,           2,           0,           0,          38,           5,           0, 
      553,  47850.00,     86.53,      1.32,      7.64,      0.15,      2.41,           2,           0,           1,           2,           0,           0,           1,           4,           0,
>      105,  21640.00,    206.10,      1.88,      4.60,      0.36,      2.41,           2,           0,           1,           2,           0,           0,          38,           3,           0,
       30,   6420.00,    214.00,      3.68,      8.68,      1.16,      2.36,           2,           0,           5,           1,           0,           0,          21,           4,           0,
       70,  15670.00,    223.86,      2.39,      9.01,      0.53,      2.34,           2,           0,           3,           1,           0,           0,          18,           2,           0,
      415,  45270.00,    109.08,      1.41,      3.91,      0.18,      2.32,           2,           0,           3,           2,           0,           0,          20,           1,           0,
       51,   7710.00,    151.18,      2.28,      4.85,      0.60,      2.32,           2,           0,           8,           1,           0,           0,          26,           3,           0,
      126,  13110.00,    104.05,      1.80,      5.51,      0.33,      2.32,           2,           0,           2,           1,           0,           0,           7,           3,           0,
       33,   8310.00,    251.82,      3.41,      6.16,      0.88,      2.29,           2,           0,           1,           1,           0,           0,          38,           3,           0,
      110,  21240.00,    193.09,      1.79,      4.92,      0.32,      2.28,           2,           0,           1,           2,           0,           0,          38,           1,           0,
      412,  44230.00,    107.35,      1.40,      3.76,      0.17,      2.28,           2,           0,           3,           2,           0,           0,          20,           2,           0,
