# TimeStamp   : 2020-03-02 19:30:56
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>3</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Start>0</Start>
#         <Stop>11</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
