# TimeStamp   : 2020-02-22 08:16:19
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
     1114, 213800.00,    191.92,      1.55,     11.37,      0.25,      4.84,           3,           0,           3,           2,           3,          32,          24,           3,           0, 
     1164, 219680.00,    188.73,      1.53,     13.22,      0.24,      4.82,           3,           0,           3,           2,           3,          32,          24,           1,           0, 
     1266, 225390.00,    178.03,      1.50,     11.20,      0.22,      4.79,           3,           0,           3,           2,           7,          32,          24,           1,           0, 
     1197, 215900.00,    180.37,      1.50,     12.93,      0.22,      4.70,           3,           0,           3,           2,           2,          32,          24,           1,           0, 
     1335, 186710.00,    139.86,      1.49,     11.76,      0.22,      4.64,           3,           0,           2,           2,          10,          25,          24,           4,           0, 
     1149, 210210.00,    182.95,      1.50,     11.88,      0.23,      4.62,           3,           0,           3,           2,           3,          32,          24,           2,           0, 
     1270, 175850.00,    138.46,      1.49,     13.00,      0.22,      4.59,           3,           0,           2,           1,          10,          25,          24,           1,           0, 
     1468, 194910.00,    132.77,      1.44,     13.77,      0.20,      4.57,           3,           0,           2,           2,          10,          25,          24,           3,           0, 
     1225, 209420.00,    170.96,      1.49,      9.89,      0.22,      4.57,           3,           0,           3,           2,           9,          32,          24,           1,           0, 
     1468, 194910.00,    132.77,      1.44,     13.77,      0.20,      4.57,           3,           0,           2,           2,          10,          25,          24,           3,           0, 
     1532, 195910.00,    127.88,      1.42,     13.26,      0.20,      4.48,           3,           0,           2,           2,          10,          25,          24,           2,           0, 
     1021, 148400.00,    145.35,      1.55,     13.58,      0.25,      4.47,           3,           0,           3,           2,          10,          25,          24,           5,           0, 
     1257, 209050.00,    166.31,      1.46,      9.85,      0.21,      4.45,           3,           0,           3,           2,           7,          32,          24,           2,           0, 
     1254, 167910.00,    133.90,      1.47,     11.88,      0.21,      4.41,           3,           0,           2,           1,          10,          26,          24,           1,           0, 
     1184, 201940.00,    170.56,      1.47,     10.61,      0.21,      4.41,           3,           0,           3,           2,           2,          32,          24,           2,           0, 
     1254, 167910.00,    133.90,      1.47,     11.88,      0.21,      4.41,           3,           0,           2,           1,          10,          26,          24,           1,           0, 
     1184, 201940.00,    170.56,      1.47,     10.61,      0.21,      4.41,           3,           0,           3,           2,           2,          32,          24,           2,           0, 
     1254, 167910.00,    133.90,      1.47,     11.88,      0.21,      4.41,           3,           0,           2,           1,          10,          26,          24,           1,           0, 
      954, 175920.00,    184.40,      1.52,     14.81,      0.23,      4.39,           3,           0,           2,           1,           8,          25,          31,           1,           0, 
     1565, 193130.00,    123.41,      1.40,     12.33,      0.19,      4.37,           3,           0,           2,           2,          10,          25,          24,           1,           0, 
     1170, 198450.00,    169.62,      1.46,      9.96,      0.21,      4.37,           3,           0,           3,           2,           1,          32,          24,           1,           0, 
     1565, 193130.00,    123.41,      1.40,     12.33,      0.19,      4.37,           3,           0,           2,           2,          10,          25,          24,           1,           0, 
     1224, 203350.00,    166.14,      1.45,     10.88,      0.20,      4.33,           3,           0,           1,           2,           3,          32,          24,           1,           0, 
     1176, 167760.00,    142.65,      1.48,     15.28,      0.22,      4.33,           3,           0,           2,           2,          10,          32,          24,           3,           0, 
     1471, 217960.00,    148.17,      1.40,     10.38,      0.18,      4.32,           3,           0,           3,           2,           7,          14,          24,           3,           0, 
     1230, 171780.00,    139.66,      1.46,     15.76,      0.22,      4.32,           3,           0,           2,           2,          10,          32,          24,           2,           0, 
     1322, 172810.00,    130.72,      1.45,     10.89,      0.20,      4.31,           3,           0,           2,           2,          10,          26,          24,           4,           0, 
     1384, 218810.00,    158.10,      1.41,     11.81,      0.19,      4.31,           3,           0,           2,           2,           7,          32,          24,           2,           0, 
     1322, 172810.00,    130.72,      1.45,     10.89,      0.20,      4.31,           3,           0,           2,           2,          10,          26,          24,           4,           0, 
     1209, 196380.00,    162.43,      1.46,      9.19,      0.21,      4.30,           3,           0,           3,           2,           9,          32,          24,           2,           0, 
      802, 122340.00,    152.54,      1.59,      8.21,      0.26,      4.29,           3,           0,           2,           1,          10,          26,          46,           1,           0, 
     1293, 209940.00,    162.37,      1.42,     13.91,      0.19,      4.29,           3,           0,           2,           2,           2,          32,          24,           3,           0, 
      501,  95900.00,    191.42,      1.79,      9.40,      0.33,      4.29,           3,           0,           3,           1,           5,          14,          31,           3,           0, 
      802, 122340.00,    152.54,      1.59,      8.21,      0.26,      4.29,           3,           0,           2,           1,          10,          26,          46,           1,           0, 
     1153, 191810.00,    166.36,      1.46,      9.88,      0.20,      4.27,           3,           0,           3,           2,           4,          32,          24,           1,           0, 
      949, 136350.00,    143.68,      1.55,     11.58,      0.25,      4.25,           3,           0,           6,           2,          10,          26,          24,           4,           0, 
     1510, 184090.00,    121.91,      1.40,     12.27,      0.18,      4.24,           3,           0,           2,           2,          10,          26,          24,           2,           0, 
     1633, 190230.00,    116.49,      1.38,     12.97,      0.17,      4.24,           3,           0,           2,           2,          10,          26,          22,           3,           0, 
