# TimeStamp   : 2020-02-25 16:38:07
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
      417, 938450.00,   2250.48,      1.94,     13.04,      0.37,      4.51,           3,           0,           1,           1,          10,          15,          34,           3,           0, 
      320, 814310.00,   2544.72,      2.05,     15.55,      0.40,      4.50,           3,           0,           1,           1,          10,          25,          34,           3,           0, 
      424, 956210.00,   2255.21,      1.91,      9.49,      0.36,      4.45,           3,           0,           1,           1,           9,          15,          34,           3,           0, 
      312, 815740.00,   2614.55,      2.03,     15.58,      0.38,      4.40,           3,           0,           1,           1,          10,          26,          34,           3,           0, 
      467, 955510.00,   2046.06,      1.78,     12.84,      0.31,      4.35,           3,           0,           1,           1,          10,           3,          34,           3,           0, 
      473, 1015210.00,   2146.32,      1.81,     12.12,      0.34,      4.32,           3,           0,           3,           1,          10,           8,          34,           3,           0, 
      423, 903830.00,   2136.71,      1.87,     10.33,      0.35,      4.31,           3,           0,           3,           1,          10,          15,          34,           3,           0, 
      475, 988350.00,   2080.74,      1.77,     13.51,      0.31,      4.26,           3,           0,           1,           1,           9,          14,          34,           3,           0, 
      477, 948640.00,   1988.76,      1.74,      9.97,      0.30,      4.22,           3,           0,           1,           1,          10,           1,          34,           3,           0, 
      465, 944780.00,   2031.78,      1.76,     13.70,      0.31,      4.21,           3,           0,           1,           1,          10,          14,          34,           3,           0, 
      331, 813050.00,   2456.34,      1.93,     11.33,      0.36,      4.20,           3,           0,           1,           1,           9,          25,          34,           3,           0, 
      413, 921510.00,   2231.26,      1.86,      8.26,      0.36,      4.17,           3,           0,           3,           1,          10,           8,          18,           3,           0, 
      334, 774500.00,   2318.86,      1.91,      9.53,      0.37,      4.16,           3,           0,           3,           1,          10,          25,          34,           3,           0, 
      478, 932520.00,   1950.88,      1.72,      9.30,      0.29,      4.13,           3,           0,           1,           1,          10,           5,          34,           3,           0, 
      435, 783030.00,   1800.07,      1.73,      8.46,      0.29,      4.13,           3,           0,           1,           1,          10,           7,          34,           3,           0, 
      390, 871630.00,   2234.95,      1.82,     13.82,      0.35,      4.12,           3,           0,           1,           1,           9,          25,          25,           3,           0, 
      463, 924540.00,   1996.85,      1.76,     14.62,      0.31,      4.12,           3,           0,           1,           1,          10,           8,          34,           3,           0, 
      449, 846250.00,   1884.74,      1.79,     12.18,      0.34,      4.12,           3,           0,           3,           1,          10,          10,          34,           3,           0, 
      436, 823370.00,   1888.46,      1.80,     14.82,      0.34,      4.11,           3,           0,           1,           1,          10,          10,          34,           3,           0, 
      376, 827890.00,   2201.84,      1.84,     12.58,      0.35,      4.10,           3,           0,           1,           1,          10,          25,          25,           3,           0, 
      190, 526180.00,   2769.37,      2.20,     11.07,      0.39,      4.07,           3,           0,           1,           1,          10,          41,          34,           3,           0, 
      327, 774340.00,   2368.01,      1.90,      9.53,      0.36,      4.06,           3,           0,           3,           1,          10,          26,          34,           3,           0, 
      439, 886810.00,   2020.07,      1.77,      9.32,      0.32,      4.05,           3,           0,           3,           1,          10,          15,          46,           3,           0, 
      487, 981890.00,   2016.20,      1.73,      9.40,      0.31,      4.03,           3,           0,           3,           1,          10,           8,          46,           3,           0, 
      363, 798250.00,   2199.04,      1.89,     12.43,      0.36,      4.03,           3,           0,           1,           1,          10,          15,          18,           3,           0, 
      542, 1000880.00,   1846.64,      1.67,     10.64,      0.28,      4.00,           3,           0,           3,           1,          10,           8,          31,           3,           0, 
      619, 1020940.00,   1649.34,      1.61,     12.63,      0.25,      4.00,           3,           0,           1,           1,          10,          15,          50,           3,           0, 
      265, 668970.00,   2524.42,      2.01,      9.54,      0.40,      3.99,           3,           0,           1,           1,          10,          25,          18,           3,           0, 
      771, 1187510.00,   1540.22,      1.54,     10.17,      0.23,      3.99,           3,           0,           3,           1,          10,           8,          22,           3,           0, 
      477, 902900.00,   1892.87,      1.70,      9.62,      0.29,      3.96,           3,           0,           3,           1,          10,          14,          34,           3,           0, 
      493, 895340.00,   1816.11,      1.69,     10.73,      0.29,      3.95,           3,           0,           3,           1,          10,          15,          31,           3,           0, 
      421, 895830.00,   2127.86,      1.80,      8.08,      0.35,      3.95,           3,           0,           3,           1,          10,           8,          42,           3,           0, 
      251, 628160.00,   2502.63,      2.07,     10.85,      0.45,      3.95,           3,           0,           1,           1,          10,          25,          19,           3,           0, 
      479, 905280.00,   1889.94,      1.71,     10.27,      0.30,      3.91,           3,           0,           1,           1,          10,          15,          25,           3,           0, 
      283, 681160.00,   2406.93,      1.98,     14.40,      0.42,      3.91,           3,           0,           1,           1,          10,          25,          41,           3,           0, 
      478, 896060.00,   1874.60,      1.68,     11.52,      0.28,      3.90,           3,           0,           1,           1,          10,          22,          34,           3,           0, 
      694, 1123030.00,   1618.20,      1.56,     10.94,      0.24,      3.90,           3,           0,           3,           1,          10,           8,          50,           3,           0, 
      201, 504480.00,   2509.85,      2.09,     11.71,      0.38,      3.89,           3,           0,           3,           1,          10,          41,          34,           3,           0, 
      257, 670400.00,   2608.56,      1.99,      9.56,      0.38,      3.89,           3,           0,           1,           1,          10,          26,          18,           3,           0, 
      663, 1043120.00,   1573.33,      1.55,     13.00,      0.24,      3.89,           3,           0,           1,           1,          10,          14,          50,           3,           0, 
      724, 1085440.00,   1499.23,      1.54,     10.37,      0.23,      3.89,           3,           0,           3,           1,          10,          15,           0,           3,           0, 
      298, 670680.00,   2250.60,      1.91,     10.93,      0.36,      3.89,           3,           0,           1,           1,          10,          33,          34,           3,           0, 
      490, 924970.00,   1887.69,      1.69,     12.80,      0.29,      3.88,           3,           0,           1,           1,           9,          15,          25,           3,           0, 
      377, 838950.00,   2225.33,      1.84,     11.03,      0.36,      3.88,           3,           0,           3,           1,          10,           8,          44,           3,           0, 
      544, 1004530.00,   1846.56,      1.66,      9.83,      0.28,      3.87,           3,           0,           3,           1,          10,           8,          25,           3,           0, 
      406, 811080.00,   1997.73,      1.76,     10.94,      0.32,      3.86,           3,           0,           1,           1,          10,           8,          18,           3,           0, 
      421, 942460.00,   2238.62,      1.77,     12.58,      0.30,      3.85,           3,           0,           1,           1,           5,           8,          34,           3,           0, 
      349, 755020.00,   2163.38,      1.80,     10.01,      0.33,      3.85,           3,           0,           3,           1,          10,          25,          46,           3,           0, 
      663, 1029440.00,   1552.70,      1.55,     12.67,      0.23,      3.85,           3,           0,           1,           1,          10,           8,          50,           3,           0, 
      723, 1063210.00,   1470.55,      1.53,     10.15,      0.22,      3.82,           3,           0,           3,           1,          10,          15,          22,           3,           0, 
      197, 542280.00,   2752.69,      2.09,     11.41,      0.36,      3.81,           3,           0,           1,           1,           9,          41,          34,           3,           0, 
      263, 665980.00,   2532.24,      1.99,      9.76,      0.41,      3.81,           3,           0,           3,           1,          10,          25,          43,           3,           0, 
      631, 1005290.00,   1593.17,      1.56,     11.46,      0.24,      3.78,           3,           0,           1,           1,           9,          15,          50,           3,           0, 
      474, 890350.00,   1878.38,      1.67,      8.67,      0.28,      3.77,           3,           0,           1,           1,           9,           8,          34,           3,           0, 
      655, 939570.00,   1434.46,      1.56,      8.87,      0.24,      3.77,           3,           0,           1,           1,          10,          15,           9,           3,           0, 
      272, 651850.00,   2396.51,      1.91,      8.73,      0.37,      3.77,           3,           0,           1,           1,           9,          25,          18,           3,           0, 
      667, 1004390.00,   1505.83,      1.52,     12.17,      0.22,      3.77,           3,           0,           1,           1,          10,           3,          50,           3,           0, 
      716, 1041990.00,   1455.29,      1.52,      9.05,      0.22,      3.76,           3,           0,           3,           1,          10,          15,           4,           3,           0, 
      730, 1034990.00,   1417.79,      1.53,      9.22,      0.23,      3.76,           3,           0,           3,           1,          10,           8,           9,           3,           0, 
      774, 1097080.00,   1417.42,      1.49,     10.21,      0.21,      3.75,           3,           0,           3,           1,          10,          14,           0,           3,           0, 
      526, 921020.00,   1750.99,      1.62,      9.18,      0.27,      3.75,           3,           0,           1,           1,          10,          14,          25,           3,           0, 
      232, 580030.00,   2500.13,      2.05,     12.29,      0.43,      3.75,           3,           0,           1,           1,          10,          25,          23,           3,           0, 
      237, 637740.00,   2690.89,      2.00,     12.32,      0.40,      3.74,           3,           0,           1,           1,           9,          26,          23,           3,           0, 
