# TimeStamp   : 2020-03-03 12:09:52
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
      982, 1930430.00,   1965.81,      1.59,     12.46,      0.26,      5.01,           3,           0,           2,           2,          10,          25,          45,           4,           2,           0, 
      985, 1907890.00,   1936.94,      1.58,     12.39,      0.25,      4.93,           3,           0,           2,           2,          10,          25,          45,           4,           1,           0, 
      968, 1875900.00,   1937.91,      1.59,     12.01,      0.25,      4.90,           3,           0,           2,           2,          10,          25,          45,           4,           3,           0, 
      795, 1549380.00,   1948.91,      1.61,     10.20,      0.25,      4.55,           3,           0,           2,           2,          10,          25,          18,           4,           4,           0, 
      814, 1554950.00,   1910.26,      1.58,     10.23,      0.25,      4.41,           3,           0,           2,           2,          10,          25,          18,           4,           1,           0, 
      813, 1540260.00,   1894.54,      1.58,     10.14,      0.24,      4.37,           3,           0,           2,           2,          10,          25,          18,           4,           2,           0, 
      809, 1531800.00,   1893.45,      1.58,     10.08,      0.24,      4.37,           3,           0,           2,           2,          10,          25,          18,           4,           3,           0, 
     1127, 1755990.00,   1558.11,      1.45,     10.38,      0.19,      4.35,           3,           0,           2,           2,          10,          25,          31,           4,           4,           0, 
      954, 1644870.00,   1724.18,      1.51,     10.31,      0.22,      4.35,           3,           0,           2,           2,          10,          25,          45,           4,           4,           0, 
     1429, 1901470.00,   1330.63,      1.37,     10.27,      0.17,      4.16,           3,           0,           2,           2,          10,          25,          24,           4,           1,           0, 
     1389, 1853230.00,   1334.22,      1.38,      9.66,      0.17,      4.12,           3,           0,           2,           2,          10,          25,          24,           4,           3,           0, 
     1418, 1860190.00,   1311.84,      1.37,     10.00,      0.17,      4.09,           3,           0,           2,           2,          10,          25,          24,           4,           2,           0, 
     1371, 1777040.00,   1296.16,      1.36,     12.83,      0.17,      3.96,           3,           0,           2,           2,          10,          14,          24,           4,           2,           0, 
      758, 1233100.00,   1626.78,      1.50,      9.75,      0.21,      3.93,           3,           0,           2,           2,          10,          25,          42,           4,           4,           0, 
      719, 1233430.00,   1715.48,      1.53,     10.27,      0.22,      3.87,           3,           0,           2,           2,          10,          25,          43,           4,           1,           0, 
     1090, 1507170.00,   1382.72,      1.40,      9.09,      0.18,      3.86,           3,           0,           2,           2,          10,          25,          20,           4,           4,           0, 
     1286, 1681370.00,   1307.44,      1.37,      8.26,      0.17,      3.86,           3,           0,           2,           2,          10,          15,          24,           4,           1,           0, 
      719, 1220650.00,   1697.71,      1.52,      9.97,      0.22,      3.85,           3,           0,           2,           2,          10,          25,          43,           4,           3,           0, 
      263, 665980.00,   2532.24,      1.99,      9.76,      0.41,      3.81,           3,           0,           3,           1,          10,          25,          43,           3,           3,           0, 
     1277, 1600470.00,   1253.30,      1.34,      9.28,      0.16,      3.76,           3,           0,           2,           2,          10,          25,          13,           2,           2,           0, 
     1261, 1580930.00,   1253.71,      1.34,      9.10,      0.16,      3.75,           3,           0,           2,           2,          10,          25,          13,           2,           3,           0, 
      829, 1213680.00,   1464.03,      1.44,      9.72,      0.19,      3.72,           3,           0,           2,           2,          10,          25,          38,           4,           2,           0, 
     1676, 1847090.00,   1102.08,      1.29,      8.29,      0.13,      3.66,           3,           0,           2,           2,          10,          25,           8,           3,           2,           0, 
     1637, 1829600.00,   1117.65,      1.29,      8.24,      0.13,      3.66,           3,           0,           2,           2,          10,          25,          22,           3,           3,           0, 
     1270, 1531350.00,   1205.79,      1.34,      8.95,      0.15,      3.63,           3,           0,           2,           1,          10,          25,          24,           1,           1,           0, 
      874, 1274770.00,   1458.55,      1.44,      8.23,      0.19,      3.59,           3,           0,           2,           2,          10,          25,          45,           4,           5,           0, 
      568, 1010400.00,   1778.87,      1.56,      8.24,      0.23,      3.59,           3,           0,           6,           2,          10,          25,          42,           4,           1,           0, 
     1612, 1727490.00,   1071.64,      1.29,      8.80,      0.13,      3.58,           3,           0,           2,           2,          10,          15,           0,           2,           4,           0, 
      567, 1006290.00,   1774.76,      1.55,      8.21,      0.23,      3.57,           3,           0,           6,           2,          10,          25,          42,           4,           2,           0, 
      790, 1083680.00,   1371.75,      1.44,      8.57,      0.19,      3.57,           3,           0,           2,           1,          10,          26,           4,           1,           3,           0, 
     1675, 1798420.00,   1073.68,      1.28,      8.67,      0.13,      3.56,           3,           0,           2,           2,          10,          25,          22,           4,           1,           0, 
      238, 571440.00,   2401.01,      1.95,      8.59,      0.40,      3.55,           3,           0,           3,           1,          10,          25,          43,           3,           4,           0, 
      566, 992240.00,   1753.07,      1.55,      8.46,      0.23,      3.54,           3,           0,           6,           2,          10,          25,          42,           4,           3,           0, 
      757, 1123040.00,   1483.54,      1.48,      9.10,      0.21,      3.52,           3,           0,           6,           1,          10,          15,          24,           3,           1,           0, 
     1135, 1422910.00,   1253.67,      1.34,      8.44,      0.16,      3.49,           3,           0,           2,           2,          10,          25,          20,           4,           2,           0, 
     1143, 1415220.00,   1238.16,      1.34,      8.82,      0.15,      3.45,           3,           0,           2,           2,          10,          25,          20,           4,           1,           0, 
     1247, 1897920.00,   1521.99,      1.33,      8.66,      0.15,      3.43,           3,           0,           3,           2,           4,          15,          24,           2,           2,           0, 
