# TimeStamp   : 2020-08-17 11:06:11
# Strategy    : GC1
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,Side_switch,   MyStop,fractN_long,fractN_short,  epsilon,
      337,    14.18,    54.60,     1.51,     4.48,     0.23,     2.56,          1,          0,          0,          0,          0,
      330,    11.95,    52.73,     1.43,     5.97,     0.20,     2.25,          1,          0,          0,          0,          0,
      330,    10.97,    52.42,     1.37,     4.15,     0.18,     1.99,          1,          0,          0,          0,          0,
      329,    11.86,    52.58,     1.42,     5.80,     0.20,     2.21,          1,          0,          0,          0,          0,
      322,    14.14,    53.11,     1.52,     8.18,     0.24,     2.59,          1,          0,          0,          0,          0,
      330,    13.06,    52.42,     1.48,     5.87,     0.23,     2.51,          1,          0,          0,          0,          0,
      333,    10.52,    50.75,     1.36,     4.18,     0.18,     1.96,          1,          0,          0,          0,          0,
      335,    11.49,    52.54,     1.40,     5.91,     0.19,     2.16,          1,          0,          0,          0,          0,
      337,    11.10,    52.52,     1.40,     5.32,     0.19,     2.20,          1,          0,          0,          0,          0,
      333,     9.53,    50.45,     1.32,     3.59,     0.16,     1.78,          1,          0,          0,          0,          0,
      330,    11.73,    52.73,     1.41,     5.25,     0.19,     2.17,          1,          0,          0,          0,          0,
      334,    11.32,    52.99,     1.41,     6.68,     0.19,     2.15,          1,          0,          0,          0,          0,
      334,    12.65,    54.19,     1.46,     6.95,     0.21,     2.40,          1,          0,          0,          0,          0,
      332,     9.99,    52.11,     1.34,     3.85,     0.16,     1.81,          1,          0,          0,          0,          0,
      330,    13.41,    50.91,     1.49,     5.91,     0.24,     2.48,          1,          0,          0,          0,          0,
      331,    11.15,    53.17,     1.40,     3.21,     0.19,     2.04,          1,          0,          0,          0,          0,
      335,    11.35,    52.84,     1.41,     5.95,     0.19,     2.18,          1,          0,          0,          0,          0,
      327,    12.22,    52.91,     1.44,     4.75,     0.21,     2.26,          1,          0,          0,          0,          0,
      330,    11.27,    53.33,     1.40,     5.12,     0.19,     2.09,          1,          0,          0,          0,          0,
      339,    12.48,    51.92,     1.47,     6.69,     0.22,     2.46,          1,          0,          0,          0,          0,
      331,    13.49,    52.57,     1.50,     6.61,     0.24,     2.54,          1,          0,          0,          0,          0,
      329,    12.67,    52.58,     1.44,     6.01,     0.21,     2.28,          1,          0,          0,          0,          0,
      329,    10.70,    52.89,     1.36,     3.41,     0.17,     1.90,          1,          0,          0,          0,          0,
      324,    12.08,    51.85,     1.43,     7.08,     0.21,     2.25,          1,          0,          0,          0,          0,
      328,    14.48,    53.96,     1.55,     5.66,     0.25,     2.78,          1,          0,          0,          0,          0,
      329,    14.58,    51.98,     1.56,    10.13,     0.27,     2.81,          1,          0,          0,          0,          0,
      330,    12.96,    53.03,     1.47,     6.32,     0.22,     2.40,          1,          0,          0,          0,          0,
      324,    13.12,    52.78,     1.49,     6.66,     0.23,     2.50,          1,          0,          0,          0,          0,
      322,    15.27,    54.35,     1.58,     8.63,     0.26,     2.79,          1,          0,          0,          0,          0,
      324,    14.83,    53.70,     1.58,     7.79,     0.27,     2.84,          1,          0,          0,          0,          0,
      328,    13.82,    53.35,     1.51,     8.08,     0.24,     2.59,          1,          0,          0,          0,          0,
      332,    13.32,    53.61,     1.49,     8.25,     0.23,     2.55,          1,          0,          0,          0,          0,
      330,    11.60,    53.64,     1.42,     4.67,     0.19,     2.15,          1,          0,          0,          0,          0,
      330,    10.50,    53.03,     1.35,     4.78,     0.17,     1.90,          1,          0,          0,          0,          0,
      333,    12.01,    51.95,     1.42,     7.33,     0.20,     2.19,          1,          0,          0,          0,          0,
      327,    13.24,    53.21,     1.49,     7.13,     0.23,     2.47,          1,          0,          0,          0,          0,
      333,    11.86,    54.35,     1.43,     6.40,     0.20,     2.25,          1,          0,          0,          0,          0,
      330,    10.56,    51.82,     1.37,     3.33,     0.18,     1.94,          1,          0,          0,          0,          0,
      327,    11.23,    53.52,     1.40,     4.57,     0.18,     2.05,          1,          0,          0,          0,          0,
      327,    12.48,    49.85,     1.45,     5.51,     0.23,     2.34,          1,          0,          0,          0,          0,
      335,     8.09,    50.45,     1.27,     3.78,     0.13,     1.51,          1,          0,          0,          0,          0,
      325,    16.61,    54.46,     1.69,     8.89,     0.31,     3.27,          1,          0,          0,          0,          0,
      330,    12.42,    52.42,     1.45,     6.82,     0.22,     2.31,          1,          0,          0,          0,          0,
      332,    11.55,    50.90,     1.41,     5.21,     0.20,     2.18,          1,          0,          0,          0,          0,
      331,    14.45,    53.78,     1.56,     7.57,     0.26,     2.82,          1,          0,          0,          0,          0,
      334,    12.25,    52.99,     1.45,     4.24,     0.21,     2.32,          1,          0,          0,          0,          0,
      334,     8.78,    52.10,     1.29,     2.83,     0.14,     1.59,          1,          0,          0,          0,          0,
      333,     9.13,    51.65,     1.30,     4.06,     0.15,     1.65,          1,          0,          0,          0,          0,
      324,    12.68,    53.40,     1.44,     3.14,     0.21,     2.27,          1,          0,          0,          0,          0,
      322,    13.71,    53.42,     1.50,     6.95,     0.23,     2.53,          1,          0,          0,          0,          0,
      323,    15.30,    53.87,     1.60,     7.49,     0.28,     2.91,          1,          0,          0,          0,          0,
      333,    13.40,    51.95,     1.51,     6.74,     0.24,     2.57,          1,          0,          0,          0,          0,
      322,    13.78,    52.80,     1.52,     4.95,     0.24,     2.56,          1,          0,          0,          0,          0,
      329,    11.45,    51.67,     1.40,     4.27,     0.19,     2.12,          1,          0,          0,          0,          0,
      338,    10.27,    53.55,     1.33,     3.10,     0.15,     1.78,          1,          0,          0,          0,          0,
      328,    13.54,    53.35,     1.51,     6.67,     0.24,     2.59,          1,          0,          0,          0,          0,
      329,    13.21,    52.89,     1.50,     5.46,     0.23,     2.55,          1,          0,          0,          0,          0,
      323,    14.12,    53.56,     1.52,     6.67,     0.24,     2.63,          1,          0,          0,          0,          0,
      329,    12.65,    52.89,     1.45,     4.21,     0.21,     2.32,          1,          0,          0,          0,          0,
      324,    13.03,    54.63,     1.47,     6.47,     0.21,     2.40,          1,          0,          0,          0,          0,
      330,    11.84,    52.73,     1.42,     7.07,     0.20,     2.19,          1,          0,          0,          0,          0,
      329,    12.92,    52.28,     1.47,     7.43,     0.22,     2.38,          1,          0,          0,          0,          0,
      324,    15.29,    55.25,     1.59,     6.65,     0.26,     2.88,          1,          0,          0,          0,          0,
