# TimeStamp   : 2020-07-20 15:26:11
# Strategy    : BOMRcharacter
# Symbol      : NG
# TimeFrame   : D
# Date Range  : 2001-05-14 --> 2019-12-31
#
#<Strategies/BOMRcharacter.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <OptRange>
#         <Name>Nbars</Name>              <!-- 3..30:3 -->
#         <Start>3</Start>
#         <Stop>30</Stop>
#         <Step>3</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Xbars</Name>              <!-- 3..30:3 -->
#         <Start>3</Start>
#         <Stop>30</Stop>
#         <Step>3</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/BOMRcharacter.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,   MyStop,BOMR_switch,    Nbars,    Xbars,  epsilon,
      251,   103.50,     57.77,      1.56,      3.46,      0.23,      2.31,           0,          2,          3,         15,          0,
      371,    36.39,     53.64,      1.23,      1.55,      0.11,      1.37,           0,          2,          3,          9,          0,
      153,    90.71,     54.25,      1.36,      2.44,      0.17,      1.33,           0,          2,          3,         27,          0,
      228,    60.41,     51.75,      1.31,      2.54,      0.15,      1.33,           0,          2,         12,         15,          0,
      215,    51.81,     53.95,      1.28,      2.14,      0.13,      1.18,           0,          2,         30,         12,          0,
      166,    77.72,     51.20,      1.30,      2.37,      0.15,      1.15,           0,          2,          6,         24,          0,
      140,    88.24,     54.29,      1.36,      2.78,      0.17,      1.07,           0,          2,         27,         24,          0,
      224,    42.92,     53.12,      1.23,      1.98,      0.11,      1.01,           0,          2,         27,         12,          0,
      139,    84.03,     54.68,      1.28,      1.83,      0.13,      0.95,           0,          2,          3,         30,          0,
      137,    67.02,     53.28,      1.22,      1.06,      0.10,      0.82,           0,          2,          6,         30,          0,
      139,    67.53,     50.36,      1.29,      1.32,      0.14,      0.81,           0,          2,         30,         24,          0,
      144,    64.20,     51.39,      1.26,      1.22,      0.13,      0.81,           0,          2,         24,         24,          0,
      129,    71.75,     58.14,      1.25,      0.87,      0.10,      0.79,           0,          2,         15,         30,          0,
      228,    32.41,     50.44,      1.17,      1.47,      0.08,      0.76,           0,          2,         24,         12,          0,
      199,    37.05,     50.25,      1.17,      1.48,      0.09,      0.72,           0,          2,         24,         15,          0,
      155,    45.95,     49.03,      1.17,      0.88,      0.09,      0.62,           0,          2,         15,         24,          0,
      155,    45.95,     48.39,      1.18,      1.04,      0.09,      0.61,           0,          2,         27,         21,          0,
      186,    37.25,     53.76,      1.14,      0.46,      0.06,      0.56,           0,          2,          6,         21,          0,
      220,    26.33,     49.09,      1.12,      0.62,      0.06,      0.56,           0,          2,         15,         15,          0,
      180,    30.59,     46.11,      1.14,      1.05,      0.07,      0.55,           0,          2,         30,         15,          0,
      183,    32.14,     48.09,      1.13,      0.61,      0.07,      0.52,           0,          2,          9,         21,          0,
      459,    12.06,     49.46,      1.08,      0.74,      0.04,      0.52,           0,          2,          6,          6,          0,
      291,    20.08,     49.48,      1.11,      0.67,      0.05,      0.51,           0,          2,          6,         12,          0,
      117,    43.17,     53.85,      1.14,      0.70,      0.07,      0.48,           0,          2,         30,         30,          0,
      716,     5.53,     48.04,      1.05,      0.56,      0.03,      0.45,           0,          2,          3,          3,          0,
      133,    37.43,     58.65,      1.13,      0.54,      0.05,      0.42,           0,          2,         21,         27,          0,
      147,    25.49,     55.78,      1.09,      0.25,      0.04,      0.35,           0,          2,          9,         27,          0,
      490,     6.66,     51.02,      1.05,      0.39,      0.02,      0.33,           0,          2,          3,          6,          0,
      137,    25.56,     58.39,      1.09,      0.32,      0.04,      0.33,           0,          2,         18,         27,          0,
      132,    28.98,     56.82,      1.10,      0.42,      0.04,      0.33,           0,          2,         24,         27,          0,
      153,    21.52,     49.67,      1.08,      0.33,      0.04,      0.30,           0,          2,         18,         24,          0,
      158,    18.23,     52.53,      1.07,      0.34,      0.03,      0.26,           0,          2,         12,         24,          0,
      190,    13.18,     45.79,      1.06,      0.45,      0.03,      0.25,           0,          2,         27,         15,          0,
      175,    13.69,     49.14,      1.05,      0.18,      0.03,      0.23,           0,          2,         15,         21,          0,
      120,    20.23,     55.83,      1.06,      0.34,      0.03,      0.23,           0,          2,         27,         30,          0,
      180,    11.66,     48.33,      1.05,      0.21,      0.02,      0.20,           0,          2,         12,         21,          0,
      132,    15.98,     54.55,      1.06,      0.21,      0.03,      0.19,           0,          2,         27,         27,          0,
      121,    16.17,     55.37,      1.05,      0.27,      0.02,      0.18,           0,          2,         24,         30,          0,
      302,     6.43,     51.66,      1.03,      0.19,      0.02,      0.18,           0,          2,          3,         12,          0,
      147,    13.51,     46.94,      1.05,      0.27,      0.03,      0.17,           0,          2,         30,         21,          0,
      125,    12.66,     55.20,      1.04,      0.19,      0.02,      0.15,           0,          2,         18,         30,          0,
      179,     6.56,     51.96,      1.03,      0.12,      0.01,      0.11,           0,          2,         24,         18,          0,
      200,     3.44,     53.00,      1.02,      0.07,      0.01,      0.07,           0,          2,         12,         18,          0,
      131,     4.98,     58.02,      1.02,      0.04,      0.01,      0.06,           0,          2,         12,         30,          0,
      210,     1.81,     45.71,      1.01,      0.04,      0.00,      0.04,           0,          2,         18,         15,          0,
      134,     2.56,     50.75,      1.01,      0.02,      0.00,      0.03,           0,          2,          9,         30,          0,
      170,     1.48,     49.41,      1.01,      0.02,      0.00,      0.02,           0,          2,         18,         21,          0,
      191,     1.01,     51.83,      1.00,      0.02,      0.00,      0.02,           0,          2,         18,         18,          0,
      205,    -0.01,     47.80,      1.00,     -0.00,     -0.00,     -0.00,           0,          2,         21,         15,          0,
      142,    -1.74,     53.52,      0.99,     -0.02,     -0.00,     -0.02,           0,          2,         15,         27,          0,
      144,    -2.98,     50.00,      0.99,     -0.03,     -0.01,     -0.04,           0,          2,         12,         27,          0,
      169,    -3.48,     54.44,      0.99,     -0.06,     -0.01,     -0.05,           0,          2,          3,         24,          0,
      158,    -6.51,     48.73,      0.98,     -0.14,     -0.01,     -0.09,           0,          2,         24,         21,          0,
      148,    -6.61,     50.68,      0.98,     -0.13,     -0.01,     -0.09,           0,          2,         21,         24,          0,
      161,    -6.81,     53.42,      0.98,     -0.07,     -0.01,     -0.10,           0,          2,          9,         24,          0,
