# TimeStamp   : 2020-07-31 18:13:41
# Strategy    : GC1
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-31
#
#<Strategies/GC1.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#       <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#       <Value>3</Value>
#     </Input>
#     <Input>
#       <Name>MyStop</Name>
#       <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/GC1.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,Side_switch,   MyStop,fractN_long,fractN_short,  epsilon,
      649,    13.24,    51.77,     1.40,     4.39,     0.19,     2.88,          3,          0,          3,          3,          0,
      923,    11.31,    50.92,     1.32,     6.14,     0.16,     2.87,          3,          0,          0,          3,          0,
      789,    12.19,    51.46,     1.35,     5.96,     0.17,     2.85,          3,          0,          2,          3,          0,
      875,    11.40,    50.86,     1.33,     5.42,     0.16,     2.81,          3,          0,          1,          3,          0,
      515,    13.49,    53.20,     1.41,     5.62,     0.19,     2.67,          3,          0,          3,          4,          0,
      753,    11.07,    51.39,     1.32,     6.39,     0.15,     2.56,          3,          0,          1,          4,          0,
      662,    11.82,    52.27,     1.34,     5.37,     0.16,     2.56,          3,          0,          2,          4,          0,
      482,    13.34,    52.28,     1.40,     3.86,     0.19,     2.43,          3,          0,          4,          3,          0,
      804,    10.14,    51.12,     1.29,     5.98,     0.14,     2.42,          3,          0,          0,          4,          0,
     1037,     8.93,    48.79,     1.24,     4.94,     0.12,     2.32,          3,          0,          0,          2,          0,
      906,     9.57,    49.12,     1.26,     5.21,     0.13,     2.31,          3,          0,          2,          2,          0,
      771,    10.17,    48.77,     1.28,     4.42,     0.14,     2.30,          3,          0,          3,          2,          0,
      990,     9.03,    48.69,     1.24,     4.77,     0.13,     2.29,          3,          0,          1,          2,          0,
      346,    14.11,    54.91,     1.43,     5.52,     0.20,     2.22,          3,          0,          4,          4,          0,
      606,     9.68,    48.35,     1.26,     4.01,     0.14,     1.88,          3,          0,          4,          2,          0,
     1144,     6.78,    48.25,     1.17,     4.26,     0.09,     1.78,          3,          0,          0,          0,          0,
     1113,     6.75,    48.88,     1.17,     3.87,     0.09,     1.77,          3,          0,          0,          1,          0,
     1101,     6.57,    47.87,     1.17,     3.69,     0.09,     1.69,          3,          0,          1,          0,          0,
     1069,     6.48,    48.55,     1.17,     3.52,     0.09,     1.66,          3,          0,          1,          1,          0,
     1022,     6.62,    48.04,     1.17,     4.53,     0.09,     1.63,          3,          0,          2,          0,          0,
      990,     6.32,    48.79,     1.16,     3.78,     0.08,     1.55,          3,          0,          2,          1,          0,
      890,     6.14,    47.64,     1.16,     3.25,     0.08,     1.42,          3,          0,          3,          0,          0,
      855,     5.82,    48.54,     1.15,     2.70,     0.08,     1.33,          3,          0,          3,          1,          0,
      727,     5.03,    47.59,     1.12,     2.10,     0.06,     1.01,          3,          0,          4,          0,          0,
      690,     4.63,    48.41,     1.11,     1.76,     0.06,     0.92,          3,          0,          4,          1,          0,
