# TimeStamp   : 2020-06-17 15:12:36
# Strategy    : MasterCode
# Symbol      : BO
# TimeFrame   : M15
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..3:1 -->
#         <Start>1</Start>
#         <Stop>3</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
       34,     72.56,     79.41,     14.55,     24.19,      2.79,      3.16,           1,           2,           0,           6,           1,           0,           6,           0,          17,           0,           1,           0, 
       30,     74.43,     83.33,     13.62,     21.27,      2.10,      2.98,           1,           2,           0,           6,           1,           0,           3,           0,          17,           0,           1,           0, 
       30,     77.47,     70.00,     23.13,     59.59,      6.64,      2.75,           1,           2,           0,           6,           1,           0,           3,           0,          29,           0,           2,           0, 
       55,     52.64,     70.91,      4.77,     12.22,      1.10,      2.73,           1,           2,           0,           6,           2,           0,           0,           0,          35,           0,           3,           0, 
      118,     24.71,     65.25,      2.50,      6.10,      0.52,      2.70,           1,           2,           0,           6,           1,           3,           0,           0,          13,           0,           1,           0, 
      116,     24.92,     59.48,      2.57,      7.09,      0.64,      2.70,           1,           2,           0,           6,           1,           0,           3,           0,          46,           0,           1,           0, 
       31,     75.29,     80.65,     13.48,     23.58,      2.42,      2.70,           1,           2,           0,           6,           1,           0,           6,           0,          29,           0,           2,           0, 
      115,     23.94,     60.87,      2.42,      5.44,      0.55,      2.68,           1,           2,           0,           6,           1,           3,           6,           0,          43,           0,           1,           0, 
       33,     50.03,     63.64,      5.44,      9.65,      1.61,      2.59,           1,           2,           0,           6,           1,           3,           6,           0,          36,           0,           1,           0, 
       73,     34.90,     60.27,      3.21,      6.40,      0.88,      2.58,           1,           2,           0,           6,           1,           0,           3,           0,          48,           0,           2,           0, 
      118,     24.21,     60.17,      2.37,      5.40,      0.54,      2.58,           1,           2,           0,           6,           1,           3,           6,           0,          46,           0,           1,           0, 
      126,     21.66,     60.32,      2.25,      5.71,      0.49,      2.58,           1,           2,           0,           6,           1,           0,           6,           0,          43,           0,           1,           0, 
       36,     71.22,     69.44,      5.70,     11.71,      1.43,      2.57,           1,           2,           0,           6,           2,           0,           6,           0,          35,           0,           3,           0, 
      137,     20.46,     56.20,      2.28,      6.09,      0.56,      2.57,           1,           2,           0,           6,           3,           1,           0,           0,          15,           0,           0,           0, 
       52,     37.46,     55.77,      3.82,     10.88,      1.25,      2.57,           1,           2,           0,           6,           1,           1,           3,           0,          23,           0,           2,           0, 
      113,     24.14,     63.72,      2.41,      7.95,      0.51,      2.54,           1,           2,           0,           6,           1,           4,           0,           0,          13,           0,           1,           0, 
       74,     33.89,     59.46,      3.10,      6.30,      0.85,      2.54,           1,           2,           0,           6,           1,           0,           3,           0,          50,           0,           2,           0, 
       74,     33.89,     59.46,      3.10,      6.30,      0.85,      2.54,           1,           2,           0,           6,           1,           0,           3,           0,           0,           0,           2,           0, 
      114,     21.84,     59.65,      2.37,      6.47,      0.55,      2.53,           1,           2,           0,           6,           1,           0,           3,           0,          43,           0,           1,           0, 
       60,     43.05,     71.67,      3.51,      4.99,      0.71,      2.53,           1,           2,           0,           6,           2,           0,           6,           0,          25,           0,           3,           0, 
       38,     57.42,     68.42,      7.63,     17.60,      2.09,      2.53,           1,           2,           0,           6,           1,           3,           3,           0,          29,           0,           1,           0, 
       70,     35.24,     58.57,      3.20,      5.86,      0.91,      2.52,           1,           2,           0,           6,           1,           0,           3,           0,          46,           0,           2,           0, 
       33,     62.88,     69.70,      5.76,     11.28,      1.44,      2.51,           1,           2,           0,           6,           1,           0,           6,           0,          14,           0,           1,           0, 
       71,     34.52,     60.56,      3.09,      6.16,      0.82,      2.50,           1,           2,           0,           6,           1,           0,           3,           0,          22,           0,           2,           0, 
      141,     19.65,     58.87,      2.19,      5.43,      0.49,      2.49,           1,           2,           0,           6,           1,           3,           0,           0,          15,           0,           1,           0, 
       91,     28.36,     63.74,      2.77,      5.57,      0.64,      2.48,           1,           2,           0,           6,           1,           0,           3,           0,          25,           0,           1,           0, 
       98,     26.20,     59.18,      2.59,      5.28,      0.65,      2.47,           1,           2,           0,           6,           1,           3,           3,           0,          46,           0,           1,           0, 
       71,     30.32,     61.97,      2.99,      5.41,      0.76,      2.46,           1,           2,           0,           6,           1,           0,           6,           0,          43,           0,           2,           0, 
       78,     31.15,     62.82,      2.90,      6.75,      0.71,      2.45,           1,           2,           0,           6,           2,           0,           0,           0,          13,           0,           3,           0, 
      142,     18.96,     57.04,      2.14,      5.48,      0.49,      2.45,           1,           2,           0,           6,           1,           1,           0,           0,          15,           0,           1,           0, 
       77,     30.44,     61.04,      2.94,      5.89,      0.76,      2.44,           1,           2,           0,           6,           1,           0,           6,           0,          48,           0,           2,           0, 
       77,     30.44,     61.04,      2.94,      5.89,      0.76,      2.44,           1,           2,           0,           6,           1,           0,           6,           0,          50,           0,           2,           0, 
       77,     30.44,     61.04,      2.94,      5.89,      0.76,      2.44,           1,           2,           0,           6,           1,           0,           6,           0,           0,           0,           2,           0, 
      107,     24.26,     57.94,      2.42,      6.36,      0.60,      2.44,           1,           2,           0,           6,           1,           4,           3,           0,          46,           0,           1,           0, 
      101,     25.47,     60.40,      2.40,      5.38,      0.55,      2.44,           1,           2,           0,           6,           1,           3,           6,           0,          13,           0,           1,           0, 
       80,     30.86,     63.75,      2.77,      5.08,      0.64,      2.42,           1,           2,           0,           6,           3,           0,           3,           0,          25,           0,           0,           0, 
      112,     23.84,     60.71,      2.39,      5.77,      0.55,      2.42,           1,           2,           0,           6,           1,           0,           3,           0,          39,           0,           1,           0, 
       73,     31.58,     60.27,      3.03,      5.48,      0.81,      2.42,           1,           2,           0,           6,           1,           0,           6,           0,          46,           0,           2,           0, 
      147,     18.05,     55.78,      2.13,      5.77,      0.50,      2.41,           1,           2,           0,           6,           3,           0,           0,           0,          15,           0,           0,           0, 
       80,     29.78,     61.25,      2.64,      4.98,      0.63,      2.39,           1,           2,           0,           6,           1,           3,           6,           0,           1,           0,           1,           0, 
       61,     36.98,     55.74,      3.23,      5.67,      0.99,      2.39,           1,           2,           0,           6,           1,           1,           3,           0,           0,           0,           2,           0, 
       61,     36.98,     55.74,      3.23,      5.67,      0.99,      2.39,           1,           2,           0,           6,           1,           1,           3,           0,          50,           0,           2,           0, 
       32,     47.66,     71.88,      4.72,      6.96,      1.05,      2.39,           1,           2,           0,           6,           2,           0,           3,           0,          35,           0,           3,           0, 
      121,     21.68,     57.85,      2.22,      5.08,      0.51,      2.38,           1,           2,           0,           6,           1,           0,           3,           0,           0,           0,           1,           0, 
      121,     21.68,     57.85,      2.22,      5.08,      0.51,      2.38,           1,           2,           0,           6,           1,           0,           3,           0,          50,           0,           1,           0, 
      121,     21.64,     57.85,      2.21,      5.08,      0.51,      2.38,           1,           2,           0,           6,           1,           0,           3,           0,          48,           0,           1,           0, 
       78,     31.42,     62.82,      2.64,      5.14,      0.61,      2.37,           1,           2,           0,           6,           2,           0,           6,           0,          46,           0,           3,           0, 
       57,     41.39,     70.18,      3.38,      5.12,      0.71,      2.37,           1,           2,           0,           6,           2,           0,           3,           0,          25,           0,           3,           0, 
       58,     38.19,     56.90,      3.24,      5.57,      0.96,      2.37,           1,           2,           0,           6,           1,           1,           3,           0,          22,           0,           2,           0, 
       65,     33.66,     66.15,      3.08,      5.42,      0.71,      2.36,           1,           2,           0,           6,           1,           0,           6,           0,          15,           0,           2,           0, 
       68,     33.12,     66.18,      3.14,      4.67,      0.72,      2.35,           1,           2,           0,           6,           1,           0,           0,           0,          13,           0,           2,           0, 
      128,     20.82,     58.59,      2.13,      5.04,      0.47,      2.35,           1,           2,           0,           6,           1,           0,           6,           0,          46,           0,           1,           0, 
       39,     40.10,     61.54,      4.03,      9.15,      1.16,      2.35,           1,           2,           0,           6,           1,           0,           6,           0,          36,           0,           1,           0, 
      174,     15.16,     55.17,      1.91,      5.03,      0.41,      2.34,           1,           2,           0,           6,           1,           1,           0,           0,          46,           0,           1,           0, 
       74,     29.92,     62.16,      2.81,      5.56,      0.68,      2.34,           1,           2,           0,           6,           1,           0,           6,           0,          22,           0,           2,           0, 
      109,     21.60,     57.80,      2.27,      4.56,      0.54,      2.33,           1,           2,           0,           6,           1,           0,           3,           0,          22,           0,           1,           0, 
       77,     35.51,     63.64,      2.85,      6.45,      0.67,      2.33,           1,           2,           0,           6,           2,           0,           6,           0,          43,           0,           3,           0, 
       31,     63.94,     58.06,      7.10,     24.78,      2.56,      2.32,           1,           2,           0,           6,           1,           1,           3,           0,           9,           0,           2,           0, 
       43,     49.28,     62.79,      4.66,     13.00,      1.36,      2.32,           1,           2,           0,           6,           1,           0,           3,           0,          29,           0,           1,           0, 
       76,     29.82,     61.84,      2.61,      5.89,      0.62,      2.31,           1,           2,           0,           6,           1,           0,           3,           0,           1,           0,           1,           0, 
       49,     46.06,     65.31,      3.22,      5.48,      0.77,      2.31,           1,           2,           0,           6,           2,           0,           6,           0,           1,           0,           3,           0, 
      217,     13.61,     53.92,      1.77,      6.98,      0.35,      2.31,           1,           2,           0,           3,           2,           1,           0,           0,          22,           0,           1,           0, 
       75,     29.56,     60.00,      2.55,      4.93,      0.62,      2.30,           1,           2,           0,           6,           2,           0,           6,           0,          22,           0,           3,           0, 
      120,     20.45,     58.33,      2.33,      5.22,      0.55,      2.28,           1,           2,           0,           6,           1,           4,           0,           0,          25,           0,           1,           0, 
      127,     19.86,     62.99,      2.09,      5.28,      0.40,      2.28,           1,           2,           0,           6,           1,           0,           0,           0,          13,           0,           1,           0, 
       57,     37.54,     54.39,      3.17,      4.98,      0.99,      2.28,           1,           2,           0,           6,           1,           1,           3,           0,          46,           0,           2,           0, 
       61,     42.85,     55.74,      3.58,      6.57,      1.14,      2.27,           1,           2,           0,           6,           1,           1,           3,           0,          48,           0,           2,           0, 
       94,     25.33,     58.51,      2.42,      5.14,      0.59,      2.27,           1,           2,           0,           6,           1,           3,           3,           0,          39,           0,           1,           0, 
      222,     13.24,     54.05,      1.72,      7.19,      0.33,      2.27,           1,           2,           0,           3,           2,           1,           0,           0,           0,           0,           1,           0, 
      222,     13.24,     54.05,      1.72,      7.19,      0.33,      2.27,           1,           2,           0,           3,           2,           1,           0,           0,          50,           0,           1,           0, 
       67,     38.34,     59.70,      3.43,      6.45,      0.98,      2.26,           1,           2,           0,           6,           1,           0,           3,           0,          43,           0,           2,           0, 
       83,     28.82,     59.04,      2.61,      5.17,      0.66,      2.26,           1,           2,           0,           6,           1,           4,           3,           0,          25,           0,           1,           0, 
      221,     13.23,     54.30,      1.72,      7.15,      0.33,      2.25,           1,           2,           0,           3,           2,           1,           0,           0,          48,           0,           1,           0, 
      185,     14.11,     54.05,      1.84,      5.60,      0.39,      2.25,           1,           2,           0,           3,           2,           1,           0,           0,          22,           0,           2,           0, 
       88,     26.00,     60.23,      2.39,      4.79,      0.55,      2.25,           1,           2,           0,           6,           1,           0,           6,           0,           1,           0,           1,           0, 
       63,     33.08,     63.49,      2.96,      5.76,      0.72,      2.25,           1,           2,           0,           6,           1,           0,           3,           0,          15,           0,           2,           0, 
      121,     20.21,     57.85,      2.06,      4.51,      0.45,      2.25,           1,           2,           0,           6,           1,           3,           6,           0,          48,           0,           1,           0, 
       67,     32.16,     59.70,      2.94,      5.95,      0.78,      2.24,           1,           2,           0,           6,           1,           0,           3,           0,          40,           0,           2,           0, 
       73,     30.74,     61.64,      2.61,      4.86,      0.62,      2.24,           1,           2,           0,           6,           2,           0,           3,           0,          46,           0,           3,           0, 
      105,     20.50,     58.10,      2.19,      5.59,      0.50,      2.24,           1,           2,           0,           6,           1,           4,           3,           0,          43,           0,           1,           0, 
       65,     32.05,     64.62,      2.87,      5.16,      0.66,      2.24,           1,           2,           0,           6,           1,           0,           6,           0,          16,           0,           2,           0, 
       31,     35.00,     64.52,      3.60,      3.90,      0.92,      2.24,           1,           2,           0,           3,           3,           0,           3,           0,          29,           0,           0,           0, 
      220,     12.59,     53.18,      1.70,      6.74,      0.33,      2.24,           1,           2,           0,           3,           2,           1,           0,           0,          46,           0,           1,           0, 
       30,     48.67,     66.67,      4.80,      6.79,      1.27,      2.23,           1,           2,           0,           3,           3,           0,           3,           0,          36,           0,           0,           0, 
       69,     27.55,     50.72,      2.94,      9.50,      0.96,      2.23,           1,           2,           0,           3,           2,           1,           0,           0,          36,           0,           2,           0, 
       79,     29.23,     62.03,      2.45,      5.18,      0.55,      2.22,           1,           2,           0,           6,           2,           0,           6,           0,           0,           0,           3,           0, 
       79,     29.23,     62.03,      2.45,      5.18,      0.55,      2.22,           1,           2,           0,           6,           2,           0,           6,           0,          50,           0,           3,           0, 
       70,     29.00,     57.14,      2.76,      4.93,      0.75,      2.22,           1,           2,           0,           6,           1,           1,           6,           0,          46,           0,           2,           0, 
       75,     27.31,     57.33,      2.62,      5.15,      0.69,      2.22,           1,           2,           0,           6,           1,           1,           6,           0,          50,           0,           2,           0, 
       75,     27.31,     57.33,      2.62,      5.15,      0.69,      2.22,           1,           2,           0,           6,           1,           1,           6,           0,           0,           0,           2,           0, 
      109,     22.06,     59.63,      2.14,      5.03,      0.46,      2.22,           1,           2,           0,           6,           1,           0,           6,           0,          13,           0,           1,           0, 
       48,     34.79,     56.25,      3.84,      9.38,      1.24,      2.22,           1,           2,           0,           6,           1,           3,           0,           0,          36,           0,           1,           0, 
      105,     23.17,     59.05,      2.22,      4.26,      0.50,      2.21,           1,           2,           0,           6,           1,           0,           6,           0,          25,           0,           1,           0, 
       75,     26.01,     57.33,      2.54,      4.90,      0.66,      2.21,           1,           2,           0,           6,           1,           1,           6,           0,          48,           0,           2,           0, 
       70,     29.96,     60.00,      2.57,      4.82,      0.63,      2.20,           1,           2,           0,           6,           2,           0,           3,           0,          22,           0,           3,           0, 
      110,     21.34,     59.09,      2.16,      4.78,      0.47,      2.20,           1,           2,           0,           6,           1,           0,           3,           0,          40,           0,           1,           0, 
       79,     32.85,     62.03,      2.63,      5.82,      0.62,      2.20,           1,           2,           0,           6,           2,           0,           6,           0,          48,           0,           3,           0, 
       51,     32.84,     60.78,      3.60,     12.79,      1.02,      2.19,           1,           2,           0,           6,           1,           4,           0,           0,          36,           0,           1,           0, 
