# TimeStamp   : 2020-07-15 10:21:02
# Strategy    : MasterCode
# Symbol      : C
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
      303,      2.10,     53.47,      1.40,      2.13,      0.19,      1.50,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      306,      1.77,     53.59,      1.34,      2.15,      0.16,      1.29,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      255,      1.99,     54.12,      1.39,      1.85,      0.18,      1.25,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      303,      1.70,     53.47,      1.31,      1.93,      0.14,      1.21,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      289,      1.69,     52.25,      1.32,      1.51,      0.15,      1.18,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      310,      1.54,     52.26,      1.30,      1.62,      0.14,      1.16,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      247,      1.95,     55.87,      1.34,      1.62,      0.15,      1.16,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      293,      1.62,     52.56,      1.31,      1.65,      0.15,      1.15,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      304,      1.57,     52.96,      1.28,      1.85,      0.13,      1.10,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      308,      1.41,     52.60,      1.25,      1.68,      0.12,      1.01,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      291,      1.46,     51.89,      1.26,      1.67,      0.13,      1.00,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      252,      1.38,     52.38,      1.23,      1.21,      0.11,      0.82,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      293,      1.16,     51.54,      1.20,      1.27,      0.10,      0.80,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      289,      1.17,     52.25,      1.20,      1.20,      0.09,      0.79,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      257,      1.21,     54.09,      1.21,      1.15,      0.10,      0.72,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      290,      0.85,     51.72,      1.14,      0.86,      0.07,      0.56,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      185,      1.15,     50.27,      1.19,      0.79,      0.09,      0.55,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      198,      1.05,     51.01,      1.17,      0.62,      0.08,      0.51,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      260,      0.81,     52.31,      1.13,      0.73,      0.06,      0.50,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      192,      0.99,     51.56,      1.16,      0.58,      0.08,      0.47,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      260,      0.74,     51.54,      1.12,      0.67,      0.06,      0.46,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
       30,      0.99,     50.00,      1.18,      0.35,      0.09,      0.24,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
