# TimeStamp   : 2020-07-30 20:38:22
# Strategy    : MasterCode
# Symbol      : E7
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>1</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
       80,    14.70,    67.50,     2.28,     3.67,     0.42,     2.65,          2,          1,          0,          8,          3,          0,          0,         46,          0,          0,          0,          0,          1,          1,          0,          0,
       86,    12.97,    65.12,     2.08,     3.47,     0.38,     2.45,          2,          1,          0,          8,          3,          0,          0,         44,          0,          0,          0,          0,          1,          1,          0,          0,
      186,     9.39,    61.29,     1.66,     4.40,     0.26,     2.32,          2,          1,          0,          8,          3,          0,          0,         42,          0,          0,          0,          0,          1,          1,          0,          0,
      259,     7.05,    57.53,     1.47,     3.52,     0.20,     2.02,          2,          1,          0,          8,          3,          0,          0,         26,          0,          0,          0,          0,          1,          1,          0,          0,
      305,     6.39,    55.74,     1.42,     3.85,     0.19,     1.94,          2,          1,          0,          8,          3,          0,          0,         16,          0,          0,          0,          0,          1,          1,          0,          0,
      310,     6.29,    56.13,     1.41,     3.83,     0.18,     1.91,          2,          1,          0,          8,          3,          0,          0,         15,          0,          0,          0,          0,          1,          1,          0,          0,
      408,     5.05,    56.37,     1.34,     3.06,     0.15,     1.90,          2,          1,          0,          8,          3,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,
      404,     5.01,    55.94,     1.35,     3.04,     0.15,     1.89,          2,          1,          0,          8,          3,          0,          0,         22,          0,          0,          0,          0,          1,          1,          0,          0,
      358,     5.28,    55.03,     1.36,     2.97,     0.16,     1.83,          2,          1,          0,          8,          3,          0,          0,         40,          0,          0,          0,          0,          1,          1,          0,          0,
       96,    11.71,    62.50,     1.80,     4.23,     0.30,     1.82,          2,          1,          0,          8,          3,          0,          0,         29,          0,          0,          0,          0,          1,          1,          0,          0,
      193,     7.08,    58.03,     1.45,     2.84,     0.19,     1.79,          2,          1,          0,          8,          3,          0,          0,         55,          0,          0,          0,          0,          1,          1,          0,          0,
       85,     9.11,    65.88,     1.66,     1.90,     0.22,     1.70,          2,          1,          0,          8,          3,          0,          0,          9,          0,          0,          0,          0,          1,          1,          0,          0,
      246,     5.69,    57.32,     1.35,     2.39,     0.15,     1.66,          2,          1,          0,          8,          3,          0,          0,         53,          0,          0,          0,          0,          1,          1,          0,          0,
      360,     4.69,    56.67,     1.30,     2.28,     0.13,     1.60,          2,          1,          0,          8,          3,          0,          0,         39,          0,          0,          0,          0,          1,          1,          0,          0,
      257,     5.80,    56.42,     1.36,     2.91,     0.16,     1.56,          2,          1,          0,          8,          3,          0,          0,         11,          0,          0,          0,          0,          1,          1,          0,          0,
      147,     7.12,    59.86,     1.46,     3.15,     0.18,     1.53,          2,          1,          0,          8,          3,          0,          0,          4,          0,          0,          0,          0,          1,          1,          0,          0,
      169,     6.08,    58.58,     1.38,     2.33,     0.16,     1.52,          2,          1,          0,          8,          3,          0,          0,         31,          0,          0,          0,          0,          1,          1,          0,          0,
       34,    22.41,    64.71,     2.55,     3.34,     0.55,     1.51,          2,          1,          0,          8,          3,          0,          0,         52,          0,          0,          0,          0,          1,          1,          0,          0,
      326,     4.24,    55.83,     1.28,     2.01,     0.12,     1.44,          2,          1,          0,          8,          3,          0,          0,         13,          0,          0,          0,          0,          1,          1,          0,          0,
      200,     4.75,    56.50,     1.36,     2.34,     0.16,     1.36,          2,          1,          0,          8,          3,          0,          0,          3,          0,          0,          0,          0,          1,          1,          0,          0,
      247,     4.37,    58.70,     1.28,     1.72,     0.12,     1.36,          2,          1,          0,          8,          3,          0,          0,         25,          0,          0,          0,          0,          1,          1,          0,          0,
       70,     7.20,    58.57,     1.53,     1.32,     0.22,     1.31,          2,          1,          0,          8,          3,          0,          0,         56,          0,          0,          0,          0,          1,          1,          0,          0,
      107,     6.79,    58.88,     1.42,     2.30,     0.17,     1.23,          2,          1,          0,          8,          3,          0,          0,          5,          0,          0,          0,          0,          1,          1,          0,          0,
