# TimeStamp   : 2020-06-16 22:50:03
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M15
# Date Range  : 2015-01-01 --> 2016-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>3</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>3</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..3:1 -->
#         <Start>2</Start>
#         <Stop>3</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>3</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>12</Start>
#         <Stop>15</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>22</Start>
#         <Stop>25</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>2</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
      110,     19.89,     56.36,      1.75,      5.10,      0.33,      2.03,           1,           3,           0,           3,           3,           1,           0,          12,          22,           0,           2,           0, 
      110,     19.89,     56.36,      1.75,      5.10,      0.33,      2.03,           1,           3,           0,           3,           3,           1,           2,          12,          22,           0,           2,           0, 
      162,     15.30,     49.38,      1.57,      3.43,      0.29,      2.00,           1,           3,           0,           2,           3,           1,           2,          12,          22,           1,           2,           0, 
      162,     15.30,     49.38,      1.57,      3.43,      0.29,      2.00,           1,           3,           0,           2,           3,           1,           0,          12,          22,           1,           2,           0, 
       91,     22.27,     56.04,      1.77,      4.73,      0.34,      1.99,           1,           3,           0,           3,           3,           1,           0,          12,          22,           0,           3,           0, 
       91,     22.27,     56.04,      1.77,      4.73,      0.34,      1.99,           1,           3,           0,           3,           3,           1,           2,          12,          22,           0,           3,           0, 
      122,     17.53,     49.18,      1.64,      2.94,      0.32,      1.90,           1,           3,           0,           2,           3,           1,           0,          12,          22,           1,           3,           0, 
      122,     17.53,     49.18,      1.64,      2.94,      0.32,      1.90,           1,           3,           0,           2,           3,           1,           2,          12,          22,           1,           3,           0, 
       89,     20.31,     55.06,      1.69,      4.22,      0.31,      1.79,           1,           3,           0,           3,           3,           1,           0,          12,          22,           0,           4,           0, 
       89,     20.31,     55.06,      1.69,      4.22,      0.31,      1.79,           1,           3,           0,           3,           3,           1,           2,          12,          22,           0,           4,           0, 
      127,     15.34,     54.33,      1.57,      4.11,      0.26,      1.76,           1,           3,           0,           3,           3,           0,           0,          12,          22,           0,           2,           0, 
      127,     15.34,     54.33,      1.57,      4.11,      0.26,      1.76,           1,           3,           0,           3,           3,           0,           2,          12,          22,           0,           2,           0, 
       89,     18.36,     57.30,      1.71,      4.97,      0.30,      1.75,           1,           3,           0,           3,           3,           1,           0,          12,          22,           1,           2,           0, 
       89,     18.36,     57.30,      1.71,      4.97,      0.30,      1.75,           1,           3,           0,           3,           3,           1,           2,          12,          22,           1,           2,           0, 
      106,     17.07,     54.72,      1.59,      3.59,      0.27,      1.72,           1,           3,           0,           3,           3,           0,           0,          12,          22,           0,           3,           0, 
      106,     17.07,     54.72,      1.59,      3.59,      0.27,      1.72,           1,           3,           0,           3,           3,           0,           2,          12,          22,           0,           3,           0, 
      116,     16.23,     49.14,      1.57,      2.55,      0.29,      1.70,           1,           3,           0,           2,           3,           1,           2,          12,          22,           1,           4,           0, 
      116,     16.23,     49.14,      1.57,      2.55,      0.29,      1.70,           1,           3,           0,           2,           3,           1,           0,          12,          22,           1,           4,           0, 
      186,     11.25,     48.92,      1.40,      2.46,      0.21,      1.62,           1,           3,           0,           2,           3,           0,           0,          12,          22,           1,           2,           0, 
      186,     11.25,     48.92,      1.40,      2.46,      0.21,      1.62,           1,           3,           0,           2,           3,           0,           2,          12,          22,           1,           2,           0, 
      140,     12.96,     49.29,      1.46,      2.37,      0.23,      1.56,           1,           3,           0,           2,           3,           0,           2,          12,          22,           1,           3,           0, 
      140,     12.96,     49.29,      1.46,      2.37,      0.23,      1.56,           1,           3,           0,           2,           3,           0,           0,          12,          22,           1,           3,           0, 
      117,     16.37,     52.99,      1.48,      3.41,      0.23,      1.55,           1,           3,           0,           3,           2,           1,           2,          12,          22,           0,           4,           0, 
      117,     16.37,     52.99,      1.48,      3.41,      0.23,      1.55,           1,           3,           0,           3,           2,           1,           0,          12,          22,           0,           4,           0, 
      112,     16.74,     51.79,      1.49,      3.06,      0.24,      1.54,           1,           3,           0,           3,           2,           1,           2,          12,          22,           1,           4,           0, 
      112,     16.74,     51.79,      1.49,      3.06,      0.24,      1.54,           1,           3,           0,           3,           2,           1,           0,          12,          22,           1,           4,           0, 
      104,     15.29,     53.85,      1.52,      3.16,      0.24,      1.53,           1,           3,           0,           3,           3,           0,           0,          12,          22,           0,           4,           0, 
      104,     15.29,     53.85,      1.52,      3.16,      0.24,      1.53,           1,           3,           0,           3,           3,           0,           2,          12,          22,           0,           4,           0, 
      102,     14.33,     54.90,      1.56,      3.16,      0.25,      1.53,           1,           3,           0,           3,           3,           0,           0,          12,          22,           1,           2,           0, 
      102,     14.33,     54.90,      1.56,      3.16,      0.25,      1.53,           1,           3,           0,           3,           3,           0,           2,          12,          22,           1,           2,           0, 
      127,     13.56,     48.03,      1.45,      2.55,      0.23,      1.45,           1,           3,           0,           1,           3,           1,           0,          12,          22,           1,           3,           0, 
      127,     13.56,     48.03,      1.45,      2.55,      0.23,      1.45,           1,           3,           0,           1,           3,           1,           2,          12,          22,           1,           3,           0, 
      135,     11.70,     49.63,      1.41,      2.06,      0.21,      1.38,           1,           3,           0,           2,           3,           0,           2,          12,          22,           1,           4,           0, 
      135,     11.70,     49.63,      1.41,      2.06,      0.21,      1.38,           1,           3,           0,           2,           3,           0,           0,          12,          22,           1,           4,           0, 
      111,     12.39,     52.25,      1.40,      1.79,      0.19,      1.31,           1,           3,           0,           2,           3,           1,           3,          12,          22,           1,           2,           0, 
      128,     12.77,     50.78,      1.37,      2.30,      0.18,      1.31,           1,           3,           0,           3,           2,           0,           2,          12,          22,           1,           4,           0, 
      128,     12.77,     50.78,      1.37,      2.30,      0.18,      1.31,           1,           3,           0,           3,           2,           0,           0,          12,          22,           1,           4,           0, 
      135,     11.25,     51.85,      1.32,      2.17,      0.15,      1.17,           1,           3,           0,           3,           2,           0,           0,          12,          22,           0,           4,           0, 
      135,     11.25,     51.85,      1.32,      2.17,      0.15,      1.17,           1,           3,           0,           3,           2,           0,           2,          12,          22,           0,           4,           0, 
      134,      9.37,     51.49,      1.31,      1.64,      0.15,      1.14,           1,           3,           0,           2,           3,           0,           3,          12,          22,           1,           2,           0, 
      145,      9.41,     47.59,      1.31,      1.67,      0.16,      1.12,           1,           3,           0,           1,           3,           0,           2,          12,          22,           1,           3,           0, 
      145,      9.41,     47.59,      1.31,      1.67,      0.16,      1.12,           1,           3,           0,           1,           3,           0,           0,          12,          22,           1,           3,           0, 
       85,     10.31,     51.76,      1.32,      1.02,      0.15,      0.92,           1,           3,           0,           2,           3,           1,           3,          12,          22,           1,           4,           0, 
       87,     10.05,     51.72,      1.31,      1.01,      0.15,      0.92,           1,           3,           0,           2,           3,           1,           3,          12,          22,           1,           3,           0, 
       68,     11.88,     52.94,      1.33,      1.71,      0.16,      0.87,           1,           3,           0,           3,           3,           1,           3,          12,          22,           0,           2,           0, 
       76,     10.55,     51.32,      1.28,      1.49,      0.13,      0.81,           1,           3,           0,           3,           2,           1,           3,          12,          22,           1,           4,           0, 
       82,      9.11,     53.66,      1.27,      1.53,      0.12,      0.79,           1,           3,           0,           3,           3,           0,           3,          12,          22,           0,           2,           0, 
       80,      9.68,     50.00,      1.25,      1.51,      0.12,      0.75,           1,           3,           0,           3,           2,           1,           3,          12,          22,           0,           4,           0, 
       89,      7.73,     51.69,      1.24,      0.85,      0.12,      0.73,           1,           3,           0,           1,           3,           1,           3,          12,          22,           1,           3,           0, 
       51,     10.94,     56.86,      1.32,      1.35,      0.14,      0.68,           1,           3,           0,           3,           3,           1,           3,          12,          22,           1,           2,           0, 
      100,      6.10,     51.00,      1.19,      0.73,      0.09,      0.63,           1,           3,           0,           2,           3,           0,           3,          12,          22,           1,           4,           0, 
      102,      5.96,     50.98,      1.19,      0.73,      0.09,      0.63,           1,           3,           0,           2,           3,           0,           3,          12,          22,           1,           3,           0, 
       60,      8.68,     55.00,      1.26,      1.15,      0.12,      0.62,           1,           3,           0,           3,           3,           0,           3,          12,          22,           1,           2,           0, 
       61,      8.25,     50.82,      1.22,      0.98,      0.11,      0.58,           1,           3,           0,           3,           3,           1,           3,          12,          22,           0,           4,           0, 
       61,      8.25,     50.82,      1.22,      0.98,      0.11,      0.58,           1,           3,           0,           3,           3,           1,           3,          12,          22,           0,           3,           0, 
       91,      6.49,     50.55,      1.17,      1.06,      0.09,      0.58,           1,           3,           0,           3,           2,           0,           3,          12,          22,           1,           4,           0, 
       95,      6.04,     49.47,      1.16,      1.06,      0.08,      0.53,           1,           3,           0,           3,           2,           0,           3,          12,          22,           0,           4,           0, 
      104,      3.69,     50.00,      1.12,      0.51,      0.06,      0.42,           1,           3,           0,           1,           3,           0,           3,          12,          22,           1,           3,           0, 
       74,      4.45,     51.35,      1.13,      0.67,      0.06,      0.38,           1,           3,           0,           3,           3,           0,           3,          12,          22,           0,           3,           0, 
       74,      4.45,     51.35,      1.13,      0.67,      0.06,      0.38,           1,           3,           0,           3,           3,           0,           3,          12,          22,           0,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           2,           3,           0,           1,          12,          22,           1,           2,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           3,           1,           1,          12,          22,           0,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           1,           3,           0,           1,          12,          22,           1,           3,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           3,           0,           1,          12,          22,           1,           2,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           3,           1,           1,          12,          22,           1,           2,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           2,           1,           1,          12,          22,           0,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           2,           3,           0,           1,          12,          22,           1,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           2,           3,           1,           1,          12,          22,           1,           2,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           2,           3,           1,           1,          12,          22,           1,           3,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           3,           0,           1,          12,          22,           0,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           2,           3,           1,           1,          12,          22,           1,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           2,           0,           1,          12,          22,           0,           4,           0, 
        0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,           1,           3,           0,           3,           3,           1,           1,          12,          22,           0,           3,           0, 
