# TimeStamp   : 2020-07-29 16:31:34
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2009-10-01 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>1</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      229,    24.83,    64.19,     2.56,    18.66,     0.56,     5.19,          2,          2,          0,          6,          1,          5,         10,          0,         41,          0,          0,          0,          1,          0,          0,          0,
      229,    24.35,    63.32,     2.51,    17.74,     0.55,     5.07,          2,          2,          0,          6,          2,          5,         10,          0,         41,          0,          0,          0,          1,          0,          0,          0,
       97,    35.69,    64.95,     3.43,    10.86,     0.85,     4.41,          2,          2,          0,          6,          1,          5,         10,          0,         43,          0,          0,          0,          1,          0,          0,          0,
       96,    35.30,    63.54,     3.33,    10.45,     0.85,     4.27,          2,          2,          0,          6,          2,          5,         10,          0,         43,          0,          0,          0,          1,          0,          0,          0,
       93,    34.01,    64.52,     3.26,    10.06,     0.80,     4.16,          2,          2,          0,          6,          1,          5,         10,          0,         45,          0,          0,          0,          1,          0,          0,          0,
       92,    33.58,    63.04,     3.17,     9.65,     0.80,     4.02,          2,          2,          0,          6,          2,          5,         10,          0,         45,          0,          0,          0,          1,          0,          0,          0,
      386,    18.00,    57.25,     1.78,    10.86,     0.33,     3.89,          2,          2,          0,          6,          1,          5,         10,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      105,    27.44,    62.86,     2.79,     9.72,     0.67,     3.88,          2,          2,          0,          6,          1,          5,         10,          0,          8,          0,          0,          0,          1,          0,          0,          0,
      387,    17.66,    56.33,     1.75,    11.42,     0.33,     3.80,          2,          2,          0,          6,          2,          5,         10,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      104,    27.04,    61.54,     2.72,     9.33,     0.66,     3.76,          2,          2,          0,          6,          2,          5,         10,          0,          8,          0,          0,          0,          1,          0,          0,          0,
      392,    17.16,    56.89,     1.69,    11.17,     0.30,     3.54,          2,          2,          0,          6,          1,          5,         10,          0,         14,          0,          0,          0,          1,          0,          0,          0,
      393,    16.83,    55.98,     1.67,    11.12,     0.29,     3.45,          2,          2,          0,          6,          2,          5,         10,          0,         14,          0,          0,          0,          1,          0,          0,          0,
      412,    16.03,    53.88,     1.63,    11.92,     0.29,     3.37,          2,          2,          0,          6,          1,          5,         10,          0,         21,          0,          0,          0,          1,          0,          0,          0,
      413,    15.76,    53.51,     1.61,    11.52,     0.28,     3.30,          2,          2,          0,          6,          2,          5,         10,          0,         21,          0,          0,          0,          1,          0,          0,          0,
      307,    16.12,    56.03,     1.68,     8.94,     0.30,     3.28,          2,          2,          0,          6,          1,          5,         10,          0,         24,          0,          0,          0,          1,          0,          0,          0,
      308,    15.60,    55.19,     1.64,     8.52,     0.29,     3.16,          2,          2,          0,          6,          2,          5,         10,          0,         24,          0,          0,          0,          1,          0,          0,          0,
      367,    15.66,    59.13,     1.56,     5.70,     0.23,     3.15,          2,          2,          0,          6,          4,          5,          0,          0,         13,          0,          0,          0,          1,          0,          3,          0,
      202,    22.16,    62.38,     2.01,     3.90,     0.38,     3.13,          2,          2,          0,          6,          3,          5,          0,          0,         41,          0,          0,          0,          1,          0,          1,          0,
      259,    20.66,    57.92,     1.81,     6.78,     0.34,     3.13,          2,          2,          0,          6,          1,          5,         10,          0,         54,          0,          0,          0,          1,          0,          0,          0,
      260,    20.28,    57.31,     1.79,     6.98,     0.34,     3.06,          2,          2,          0,          6,          2,          5,         10,          0,         54,          0,          0,          0,          1,          0,          0,          0,
      453,    16.90,    58.06,     1.57,     4.13,     0.24,     2.97,          2,          2,          0,          6,          2,          5,          6,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      421,    17.71,    57.96,     1.60,     4.44,     0.25,     2.89,          2,          2,          0,          6,          4,          5,          0,          0,         17,          0,          0,          0,          1,          0,          3,          0,
      222,    20.38,    59.46,     1.73,     5.76,     0.30,     2.85,          2,          2,          0,          6,          3,          5,          0,          0,         13,          0,          0,          0,          1,          0,          1,          0,
