# TimeStamp   : 2020-08-24 10:29:49
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,fractN_long,fractN_short,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,Exit_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,  epsilon,
       60,    12.27,    55.00,     1.54,     2.83,     0.24,     1.28,          2,          2,          0,          6,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      109,     8.41,    51.38,     1.34,     1.73,     0.17,     1.11,          2,          2,          0,          8,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      220,     7.08,    48.64,     1.22,     0.99,     0.11,     1.00,          2,          2,          0,          4,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      243,     6.78,    51.85,     1.20,     0.86,     0.09,     0.98,          2,          2,          0,          3,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       40,     9.28,    55.00,     1.47,     1.31,     0.21,     0.88,          2,          2,          0,          8,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      148,    16.80,    47.97,     1.21,     1.13,     0.11,     0.79,          2,          2,          0,          4,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       41,     8.83,    43.90,     1.40,     0.73,     0.22,     0.73,          2,          2,          0,          7,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      530,     4.10,    45.85,     1.09,     0.59,     0.05,     0.72,          2,          2,          0,          2,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      533,     3.96,    45.40,     1.08,     0.61,     0.05,     0.68,          2,          2,          0,          1,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      172,     4.99,    50.00,     1.15,     0.74,     0.08,     0.65,          2,          2,          0,          3,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      122,    14.06,    48.36,     1.17,     0.82,     0.09,     0.61,          2,          2,          0,          2,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      101,    14.33,    46.53,     1.18,     0.50,     0.10,     0.59,          2,          2,          0,          2,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      531,     3.30,    45.01,     1.07,     0.74,     0.04,     0.58,          2,          2,          0,          1,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      131,    11.76,    46.56,     1.14,     0.80,     0.08,     0.52,          2,          2,          0,          4,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       51,    15.25,    50.98,     1.22,     0.57,     0.11,     0.46,          2,          2,          0,          6,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      132,     3.38,    50.76,     1.11,     0.45,     0.06,     0.45,          2,          2,          0,          2,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      319,     2.39,    48.59,     1.06,     0.41,     0.03,     0.39,          2,          2,          0,          3,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      523,     2.16,    44.93,     1.05,     0.35,     0.03,     0.38,          2,          2,          0,          2,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      553,     2.09,    45.03,     1.04,     0.34,     0.02,     0.35,          2,          2,          0,          4,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      125,     6.67,    45.60,     1.08,     0.35,     0.05,     0.31,          2,          2,          0,          3,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      240,     2.05,    47.08,     1.06,     0.28,     0.03,     0.30,          2,          2,          0,          3,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      333,     1.78,    42.04,     1.05,     0.46,     0.03,     0.29,          2,          2,          0,          2,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      630,     1.64,    45.71,     1.03,     0.31,     0.02,     0.29,          2,          2,          0,          2,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
