# TimeStamp   : 2020-07-15 10:12:22
# Strategy    : MasterCode
# Symbol      : W
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
      643,      4.67,     51.32,      1.52,      7.31,      0.25,      1.90,           1,           2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      670,      4.09,     52.39,      1.46,      8.33,      0.22,      1.74,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      593,      4.30,     51.60,      1.47,      5.76,      0.23,      1.63,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      651,      3.84,     50.38,      1.41,      4.89,      0.20,      1.59,           1,           2,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      684,      3.65,     51.17,      1.39,      6.77,      0.19,      1.57,           1,           2,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      606,      3.88,     50.99,      1.41,      6.37,      0.20,      1.50,           1,           2,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      643,      3.59,     50.70,      1.37,      4.24,      0.18,      1.45,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      332,      6.34,     49.70,      1.73,      6.25,      0.37,      1.41,           1,           2,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      718,      3.12,     50.42,      1.34,      4.89,      0.17,      1.41,           1,           2,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      916,      2.45,     49.67,      1.25,      3.03,      0.13,      1.37,           1,           2,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      902,      2.46,     49.56,      1.25,      3.95,      0.13,      1.35,           1,           2,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      226,      8.74,     53.98,      1.86,      9.40,      0.39,      1.33,           1,           2,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      215,      8.84,     49.77,      1.96,      4.48,      0.48,      1.30,           1,           2,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      716,      2.91,     49.44,      1.30,      4.34,      0.15,      1.30,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      680,      2.94,     48.68,      1.31,      4.02,      0.16,      1.26,           1,           2,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      565,      3.49,     49.73,      1.32,      4.44,      0.16,      1.22,           1,           2,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      420,      4.40,     50.95,      1.43,      2.06,      0.21,      1.21,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
     1035,      1.85,     49.28,      1.18,      2.08,      0.09,      1.14,           1,           2,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      407,      4.25,     50.61,      1.41,      3.46,      0.20,      1.13,           1,           2,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      783,      2.31,     49.68,      1.24,      2.74,      0.12,      1.12,           1,           2,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      911,      1.92,     48.52,      1.20,      2.58,      0.10,      1.07,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      206,      7.29,     49.51,      1.75,      5.29,      0.38,      1.03,           1,           2,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
