# TimeStamp   : 2020-07-20 19:47:23
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      205,    23.87,     59.51,      1.82,      7.75,      0.33,      3.23,           2,          2,          0,          3,          1,          0,          0,          0,         19,          0,          0,          0,          1,          0,          1,          0,
      300,    17.41,     51.67,      1.62,      8.78,      0.30,      3.12,           2,          2,          0,          3,          1,          0,         10,          0,         40,          0,          0,          0,          1,          0,          1,          0,
      303,    17.05,     51.49,      1.60,      7.00,      0.29,      3.07,           2,          2,          0,          3,          2,          0,         10,          0,         40,          0,          0,          0,          1,          0,          1,          0,
      283,    18.07,     52.65,      1.60,      4.75,      0.28,      2.99,           2,          2,          0,          3,          2,          0,         10,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      375,    16.69,     56.00,      1.49,      5.46,      0.22,      2.90,           2,          2,          0,          3,          1,          5,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      375,    16.69,     56.00,      1.49,      5.46,      0.22,      2.90,           2,          2,          0,          3,          1,          5,          0,          0,         17,          0,          7,          1,          1,          0,          1,          0,
      277,    17.82,     52.35,      1.58,      5.20,      0.28,      2.90,           2,          2,          0,          3,          1,          0,         10,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      226,    20.32,     58.41,      1.67,      8.48,      0.28,      2.90,           2,          2,          0,          3,          2,          0,          0,          0,         19,          0,          0,          0,          1,          0,          1,          0,
      220,    18.90,     52.27,      1.65,      4.79,      0.31,      2.81,           2,          2,          0,          3,          2,          2,         10,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      282,    16.85,     51.77,      1.53,      5.50,      0.25,      2.72,           2,          2,          0,          3,          2,          0,         10,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      201,    20.86,     58.21,      1.65,      4.11,      0.27,      2.71,           2,          2,          0,          3,          1,          2,          0,          0,         30,          0,          0,          0,          1,          0,          1,          0,
      217,    18.67,     51.61,      1.62,      4.71,      0.30,      2.69,           2,          2,          0,          3,          2,          2,         10,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      365,    14.95,     54.79,      1.45,      4.15,      0.20,      2.67,           2,          2,          0,          3,          1,          2,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      413,    14.71,     56.66,      1.43,      7.99,      0.19,      2.65,           2,          2,          0,          3,          1,          5,          0,          0,         40,          0,          0,          0,          1,          0,          1,          0,
      277,    16.55,     51.62,      1.51,      6.00,      0.25,      2.64,           2,          2,          0,          3,          1,          0,         10,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      212,    18.32,     51.42,      1.61,      5.10,      0.30,      2.63,           2,          2,          0,          3,          1,          2,         10,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      377,    15.05,     55.97,      1.43,      5.52,      0.19,      2.58,           2,          2,          0,          3,          1,          5,          0,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      377,    15.05,     55.97,      1.43,      5.52,      0.19,      2.58,           2,          2,          0,          3,          1,          5,          0,          0,         14,          0,          7,          1,          1,          0,          1,          0,
      205,    19.60,     59.51,      1.61,      4.11,      0.25,      2.57,           2,          2,          0,          3,          1,          5,          0,          0,         30,          0,          0,          0,          1,          0,          1,          0,
      243,    15.36,     51.44,      1.55,      4.21,      0.27,      2.55,           2,          2,          0,          3,          2,          2,         10,          0,         40,          0,          0,          0,          1,          0,          1,          0,
      374,    14.05,     54.81,      1.41,      5.05,      0.18,      2.45,           2,          2,          0,          3,          2,          5,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      422,    13.14,     56.16,      1.38,      6.16,      0.17,      2.43,           2,          2,          0,          3,          2,          5,          0,          0,         40,          0,          0,          0,          1,          0,          1,          0,
      380,    13.87,     55.26,      1.39,      6.37,      0.18,      2.40,           2,          2,          0,          3,          2,          5,          0,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      369,    12.80,     53.39,      1.38,      4.12,      0.18,      2.33,           2,          2,          0,          3,          2,          2,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      244,    16.13,     56.15,      1.41,      5.55,      0.18,      2.02,           2,          2,          0,          3,          2,          5,          0,          0,         10,          0,          0,          0,          1,          0,          1,          0,
