# TimeStamp   : 2020-07-27 15:18:55
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      332,    17.85,    54.52,     1.67,     7.62,     0.30,     3.51,          1,          1,          0,          6,          2,          3,          0,         39,          0,          0,          0,          0,          1,          3,          0,          0,
      367,    16.43,    54.22,     1.59,     7.33,     0.27,     3.35,          1,          1,          0,          6,          2,          3,          0,          0,          0,          0,          0,          0,          1,          3,          0,          0,
      313,    16.74,    55.91,     1.61,     5.16,     0.27,     3.14,          1,          1,          0,          6,          3,          3,          0,          0,          0,          0,          0,          0,          1,          2,          0,          0,
      490,    14.01,    50.41,     1.48,     7.45,     0.24,     3.09,          1,          1,          0,          6,          2,          3,          0,         21,          0,          0,          0,          0,          1,          1,          0,          0,
      480,    13.95,    51.88,     1.48,     6.18,     0.23,     3.08,          1,          1,          0,          6,          1,          3,          0,         21,          0,          0,          0,          0,          1,          1,          0,          0,
      394,    15.50,    52.79,     1.53,     6.87,     0.25,     3.04,          1,          1,          0,          6,          1,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      397,    15.44,    50.88,     1.53,     4.80,     0.26,     3.02,          1,          1,          0,          6,          4,          3,          0,          1,          0,          0,          0,          0,          1,          2,          0,          0,
      294,    16.22,    56.12,     1.60,     5.10,     0.26,     3.01,          1,          1,          0,          6,          3,          3,          0,         20,          0,          0,          0,          0,          1,          2,          0,          0,
      462,    13.87,    50.87,     1.48,     8.65,     0.24,     3.00,          1,          1,          0,          6,          3,          3,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,
      343,    15.80,    53.94,     1.54,     4.88,     0.25,     2.99,          1,          1,          0,          6,          1,          3,          0,         39,          0,          0,          0,          0,          1,          3,          0,          0,
      368,    14.46,    50.54,     1.51,     8.38,     0.25,     2.92,          1,          1,          0,          6,          3,          3,          0,         21,          0,          0,          0,          0,          1,          1,          0,          0,
      504,    13.11,    50.20,     1.44,     6.16,     0.22,     2.92,          1,          1,          0,          6,          4,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      603,    12.24,    50.58,     1.39,     7.46,     0.20,     2.91,          1,          1,          0,          6,          4,          3,          0,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      562,    12.42,    50.89,     1.41,     8.02,     0.20,     2.90,          1,          1,          0,          6,          3,          3,          0,         39,          0,          0,          0,          0,          1,          0,          0,          0,
      367,    14.80,    53.68,     1.50,     4.45,     0.23,     2.88,          1,          1,          0,          6,          1,          3,          0,          0,          0,          0,          0,          0,          1,          3,          0,          0,
      335,    14.37,    53.73,     1.52,     4.73,     0.24,     2.88,          1,          1,          0,          6,          2,          3,          0,         20,          0,          0,          0,          0,          1,          3,          0,          0,
      372,    15.30,    51.61,     1.52,     4.20,     0.25,     2.87,          1,          1,          0,          6,          3,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,
      299,    14.75,    54.18,     1.57,     5.04,     0.26,     2.84,          1,          1,          0,          8,          4,          3,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,
      416,    13.49,    50.72,     1.47,     6.51,     0.23,     2.82,          1,          1,          0,          6,          2,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      449,    13.54,    51.67,     1.44,     4.74,     0.21,     2.80,          1,          1,          0,          1,          2,          3,          0,          1,          0,          0,          0,          0,          1,          3,          0,          0,
      303,    16.33,    51.16,     1.55,     4.57,     0.27,     2.77,          1,          1,          0,          6,          3,          3,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,
      495,    12.89,    52.32,     1.41,     6.89,     0.19,     2.76,          1,          1,          0,          6,          1,          3,          0,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      332,    14.72,    54.22,     1.50,     4.02,     0.23,     2.74,          1,          1,          0,          6,          1,          3,          0,         20,          0,          0,          0,          0,          1,          3,          0,          0,
      327,    15.03,    53.52,     1.51,     4.17,     0.24,     2.73,          1,          1,          0,          6,          3,          0,          0,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      552,    12.06,    51.81,     1.39,     7.02,     0.19,     2.73,          1,          1,          0,          6,          4,          3,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,
      454,    12.44,    50.66,     1.41,     7.85,     0.20,     2.69,          1,          1,          0,          6,          3,          3,          0,         39,          0,          0,          0,          0,          1,          1,          0,          0,
      393,    14.15,    51.65,     1.47,     4.40,     0.23,     2.68,          1,          1,          0,          6,          1,          3,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,
      530,    12.12,    50.94,     1.38,     6.45,     0.19,     2.66,          1,          1,          0,          6,          1,          3,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,
      409,    13.65,    52.08,     1.43,     5.61,     0.21,     2.58,          1,          1,          0,          6,          4,          0,          6,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      399,    13.80,    52.38,     1.42,     5.17,     0.20,     2.58,          1,          1,          0,          1,          2,          3,          7,          1,          0,          0,          0,          0,          1,          3,          0,          0,
      323,    13.85,    53.25,     1.46,     7.51,     0.21,     2.56,          1,          1,          0,          6,          4,          3,          0,         21,          0,          0,          0,          0,          1,          4,          0,          0,
      455,    12.84,    52.53,     1.40,     6.23,     0.19,     2.55,          1,          1,          0,          4,          1,          3,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      318,    15.03,    52.20,     1.47,     6.34,     0.22,     2.54,          1,          1,          0,          1,          2,          3,          6,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      385,    13.20,    51.69,     1.41,     5.33,     0.20,     2.54,          1,          1,          0,          6,          2,          0,          0,         39,          0,          0,          0,          0,          1,          3,          0,          0,
      327,    12.82,    54.74,     1.48,     4.40,     0.22,     2.52,          1,          1,          0,          8,          4,          3,          0,         39,          0,          0,          0,          0,          1,          0,          0,          0,
      386,    12.60,    52.33,     1.44,     7.36,     0.21,     2.50,          1,          1,          0,          2,          2,          3,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      441,    12.19,    50.79,     1.39,     5.45,     0.19,     2.50,          1,          1,          0,          6,          4,          3,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      366,    13.08,    52.46,     1.42,     4.22,     0.20,     2.49,          1,          1,          0,          6,          3,          0,          0,          0,          0,          0,          0,          0,          1,          2,          0,          0,
      377,    12.58,    52.25,     1.43,     4.07,     0.21,     2.48,          1,          1,          0,          1,          3,          3,          0,          1,          0,          0,          0,          0,          1,          2,          0,          0,
      333,    12.81,    50.45,     1.46,     5.05,     0.23,     2.43,          1,          1,          0,          1,          3,          4,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      304,    13.47,    53.95,     1.44,     4.65,     0.20,     2.43,          1,          1,          0,          6,          2,          3,          0,         40,          0,          0,          0,          0,          1,          3,          0,          0,
      436,    12.18,    49.54,     1.39,     4.01,     0.20,     2.41,          1,          1,          0,          6,          4,          0,          0,          1,          0,          0,          0,          0,          1,          2,          0,          0,
      381,    12.58,    52.23,     1.39,     4.13,     0.19,     2.33,          1,          1,          0,          1,          2,          3,          8,          1,          0,          0,          0,          0,          1,          3,          0,          0,
      314,    12.77,    53.82,     1.45,     5.10,     0.21,     2.32,          1,          1,          0,          1,          3,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      323,    12.20,    52.01,     1.40,     4.20,     0.19,     2.28,          1,          1,          0,          6,          2,          0,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      305,    12.25,    51.48,     1.42,     5.43,     0.20,     2.27,          1,          1,          0,          6,          1,          0,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      344,    12.30,    51.74,     1.39,     5.32,     0.19,     2.23,          1,          1,          0,          1,          2,          3,          7,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      343,    12.43,    49.56,     1.38,     4.01,     0.19,     2.15,          1,          1,          0,          6,          3,          3,          0,         35,          0,          0,          0,          0,          1,          0,          0,          0,
