# TimeStamp   : 2020-06-17 13:44:31
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M15
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
       61,     56.51,     67.21,      4.77,     10.77,      1.24,      3.94,           1,           1,           0,           5,           1,           0,           0,          22,           0,           3,           0,           0, 
       61,     32.41,     65.57,      3.72,     11.34,      0.94,      3.50,           1,           1,           0,           4,           1,           0,           4,           3,           0,           4,           0,           0, 
       75,     46.12,     58.67,      3.33,     11.28,      0.96,      3.43,           1,           1,           0,           2,           1,           0,           0,          22,           0,           3,           0,           0, 
      228,     20.28,     57.89,      1.83,      6.52,      0.35,      3.42,           1,           1,           0,           3,           3,           0,          10,           4,           0,           1,           0,           0, 
      244,     20.20,     56.15,      1.87,      9.48,      0.38,      3.36,           1,           1,           0,           5,           1,           3,           0,           5,           0,           3,           0,           0, 
      182,     18.85,     57.14,      2.02,     10.21,      0.44,      3.34,           1,           1,           0,           2,           3,           3,           9,           0,           0,           2,           0,           0, 
       63,     29.17,     60.32,      3.40,     10.83,      0.95,      3.26,           1,           1,           0,           4,           1,           3,           4,          43,           0,           4,           0,           0, 
       85,     26.26,     60.00,      2.72,      9.71,      0.69,      3.25,           1,           1,           0,           4,           1,           3,           9,           0,           0,           4,           0,           0, 
      231,     16.71,     56.28,      1.86,      6.36,      0.38,      3.20,           1,           1,           0,           5,           3,           0,           4,           4,           0,           2,           0,           0, 
      360,     18.12,     53.61,      1.63,      7.89,      0.29,      3.20,           1,           1,           0,           1,           1,           0,           0,           0,           0,           3,           0,           0, 
       61,     28.13,     59.02,      3.26,     10.00,      0.93,      3.16,           1,           1,           0,           4,           1,           3,           5,          43,           0,           4,           0,           0, 
      199,     20.04,     57.79,      1.86,      7.48,      0.36,      3.16,           1,           1,           0,           3,           3,           0,          10,           5,           0,           1,           0,           0, 
      127,     27.54,     57.48,      2.18,      7.32,      0.50,      3.15,           1,           1,           0,           5,           1,           3,           0,          15,           0,           3,           0,           0, 
       61,     28.20,     63.93,      3.16,      9.67,      0.78,      3.15,           1,           1,           0,           4,           1,           0,           5,           3,           0,           4,           0,           0, 
      273,     14.62,     53.48,      1.71,      6.07,      0.33,      3.11,           1,           1,           0,           3,           3,           0,           5,           0,           0,           1,           0,           0, 
       86,     31.22,     60.47,      2.48,      6.62,      0.58,      3.08,           1,           1,           0,           6,           1,           3,           0,           3,           0,           3,           0,           0, 
      203,     16.60,     54.68,      1.93,      6.55,      0.42,      3.07,           1,           1,           0,           5,           3,           0,           4,           5,           0,           2,           0,           0, 
      297,     16.95,     54.21,      1.68,      6.83,      0.31,      3.03,           1,           1,           0,           5,           1,           0,           0,           5,           0,           3,           0,           0, 
      185,     18.05,     57.30,      1.88,      6.46,      0.38,      3.01,           1,           1,           0,           2,           3,           3,           8,           0,           0,           2,           0,           0, 
      104,     25.45,     56.73,      2.27,      5.38,      0.55,      2.99,           1,           1,           0,           6,           3,           0,           0,          43,           0,           2,           0,           0, 
       88,     21.38,     51.14,      2.44,     12.15,      0.70,      2.97,           1,           1,           0,           2,           1,           3,           4,           0,           0,           4,           0,           0, 
       88,     24.78,     60.23,      2.46,      9.78,      0.58,      2.95,           1,           1,           0,           4,           1,           3,           8,           0,           0,           4,           0,           0, 
      129,     23.80,     55.04,      2.04,      8.48,      0.47,      2.93,           1,           1,           0,           3,           1,           0,           0,          15,           0,           2,           0,           0, 
       90,     26.28,     64.44,      2.33,      9.41,      0.47,      2.90,           1,           1,           0,           3,           3,           0,          10,          46,           0,           2,           0,           0, 
       79,     22.73,     49.37,      2.50,     11.60,      0.76,      2.89,           1,           1,           0,           2,           1,           3,           8,           0,           0,           4,           0,           0, 
      277,     15.94,     53.79,      1.65,      8.26,      0.30,      2.89,           1,           1,           0,           3,           1,           0,           0,           5,           0,           2,           0,           0, 
