# TimeStamp   : 2020-08-04 07:19:05
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      413,    18.52,    59.08,     1.69,    11.28,     0.28,     3.98,          2,          1,          0,          4,          2,          1,          3,         16,          0,          0,          0,          0,          1,          1,          0,          0,
      422,    17.38,    58.06,     1.64,    10.59,     0.27,     3.79,          2,          1,          0,          4,          4,          1,          3,         16,          0,          0,          0,          0,          1,          2,          0,          0,
      369,    18.04,    59.35,     1.68,    11.44,     0.28,     3.72,          2,          1,          0,          4,          1,          1,          3,         16,          0,          0,          0,          0,          1,          2,          0,          0,
      462,    14.30,    56.28,     1.53,    10.74,     0.23,     3.39,          2,          1,          0,          4,          4,          1,          3,         22,          0,          0,          0,          0,          1,          2,          0,          0,
      455,    13.95,    56.04,     1.51,    10.49,     0.22,     3.27,          2,          1,          0,          4,          2,          1,          3,         22,          0,          0,          0,          0,          1,          1,          0,          0,
      441,    13.58,    56.46,     1.49,    12.71,     0.22,     3.15,          2,          1,          0,          4,          1,          1,          3,         22,          0,          0,          0,          0,          1,          2,          0,          0,
      546,    12.20,    56.04,     1.42,    10.48,     0.19,     3.11,          2,          1,          0,          4,          1,          1,          3,          0,          0,          0,          0,          0,          1,          2,          0,          0,
      374,    15.37,    55.88,     1.54,    11.16,     0.24,     3.05,          2,          1,          0,          1,          1,          0,          3,         12,          0,          0,          0,          0,          1,          3,          0,          0,
      491,    12.49,    56.42,     1.43,     8.88,     0.19,     3.00,          2,          1,          0,          4,          1,          1,          3,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      501,    12.28,    54.89,     1.41,     8.65,     0.19,     2.88,          2,          1,          0,          4,          4,          1,          3,         12,          0,          0,          0,          0,          1,          2,          0,          0,
      404,    13.59,    56.44,     1.46,     6.34,     0.20,     2.87,          2,          1,          0,          4,          2,          1,          3,         15,          0,          0,          0,          0,          1,          1,          0,          0,
      416,    13.22,    55.77,     1.44,     5.98,     0.20,     2.85,          2,          1,          0,          4,          4,          1,          3,         15,          0,          0,          0,          0,          1,          2,          0,          0,
      312,    15.46,    55.45,     1.53,     6.05,     0.24,     2.82,          2,          1,          0,          1,          1,          0,          3,         22,          0,          0,          0,          0,          1,          3,          0,          0,
      320,    49.90,    60.62,     1.68,     6.07,     0.27,     2.76,          2,          1,          0,          1,          1,          0,          0,         12,          0,          0,          0,          0,          2,          3,          0,          0,
      304,    47.84,    60.86,     1.76,     7.44,     0.30,     2.73,          2,          1,          0,          1,          4,          0,          0,         14,          0,          0,          0,          0,          2,          4,          0,          0,
      291,    15.93,    57.39,     1.52,     6.92,     0.22,     2.73,          2,          1,          0,          4,          2,          1,          3,         23,          0,          0,          0,          0,          1,          1,          0,          0,
      325,    47.10,    60.92,     1.64,     6.81,     0.25,     2.66,          2,          1,          0,          1,          4,          0,          0,         12,          0,          0,          0,          0,          2,          4,          0,          0,
      360,    13.00,    56.94,     1.45,     6.89,     0.19,     2.65,          2,          1,          0,          4,          1,          1,          3,         15,          0,          0,          0,          0,          1,          2,          0,          0,
      325,    44.69,    61.85,     1.65,     6.86,     0.25,     2.61,          2,          1,          0,          1,          1,          0,          0,          6,          0,          0,          0,          0,          2,          3,          0,          0,
