Date,Time,Open,High,Low,Close,VolumeUp,VolumeDn
01/01/2015,18:10,1348.8,1350.2,1348.3,1350.2,249,144
01/01/2015,18:20,1350.3,1351.8,1350,1351.7,145,73
01/01/2015,18:30,1351.7,1352.2,1351.2,1351.6,77,123
01/01/2015,18:40,1351.6,1352.3,1350.7,1350.7,90,121
01/01/2015,18:50,1350.8,1351.6,1350.7,1351.2,70,43
01/01/2015,19:00,1351.2,1351.8,1351.2,1351.6,24,21
01/01/2015,19:10,1351.5,1352.1,1350.8,1351.5,52,40
01/01/2015,19:20,1351.4,1351.9,1351.3,1351.8,41,50
01/01/2015,19:30,1351.7,1352.2,1351.5,1352,70,78
01/01/2015,19:40,1351.9,1353,1351.7,1351.9,136,92
01/01/2015,19:50,1351.9,1353,1351.5,1351.6,84,126
01/01/2015,20:00,1351.7,1352.4,1351.6,1352.2,42,21
01/01/2015,20:10,1352.1,1352.2,1351.5,1351.6,79,133
01/01/2015,20:20,1351.5,1351.7,1351.2,1351.2,55,101
01/01/2015,20:30,1351.3,1351.3,1349.5,1349.5,205,349
01/01/2015,20:40,1349.7,1349.7,1349,1349.7,129,110
01/01/2015,20:50,1349.8,1350.6,1349.6,1350.4,100,58
01/01/2015,21:00,1350.3,1350.3,1349.7,1349.7,93,62
01/01/2015,21:10,1349.8,1350.2,1349.3,1349.3,71,79
01/01/2015,21:20,1349.3,1349.6,1349,1349.2,40,83
01/01/2015,21:30,1349.1,1349.7,1349,1349.7,116,65
01/01/2015,21:40,1349.7,1349.8,1349.3,1349.7,47,41
01/01/2015,21:50,1349.8,1349.8,1349.4,1349.8,31,33
01/01/2015,22:00,1349.8,1349.8,1349.4,1349.8,50,21
01/01/2015,22:10,1349.8,1349.9,1349.2,1349.4,23,57
01/01/2015,22:20,1349.3,1350.5,1349.3,1350.3,81,40
01/01/2015,22:30,1350.1,1350.6,1349.8,1350.5,62,64
01/01/2015,22:40,1350.5,1350.8,1350.3,1350.4,88,74
01/01/2015,22:50,1350.3,1350.6,1350.3,1350.4,29,25
01/01/2015,23:00,1350.4,1350.9,1350.3,1350.9,65,27
01/01/2015,23:10,1350.9,1351.2,1350.6,1351.1,58,63
01/01/2015,23:20,1351.1,1351.1,1350.7,1351,78,60
01/01/2015,23:30,1351.1,1351.5,1351,1351.3,74,52
01/01/2015,23:40,1351.4,1352.1,1350.9,1351.2,95,85
01/01/2015,23:50,1351.1,1351.3,1350.1,1350.1,59,124
01/02/2015,00:00,1350,1350,1349.4,1349.4,18,97
01/02/2015,00:10,1349.4,1349.8,1349.1,1349.6,54,54
01/02/2015,00:20,1349.7,1350.1,1349.6,1350.1,34,6
01/02/2015,00:30,1350.1,1350.3,1350.1,1350.2,22,12
01/02/2015,00:40,1350.2,1350.6,1350,1350.4,32,25
01/02/2015,00:50,1350.6,1350.6,1350.4,1350.4,18,18
01/02/2015,01:00,1350.4,1350.7,1350.2,1350.7,21,19
01/02/2015,01:10,1350.6,1351.7,1350.6,1351.6,90,42
01/02/2015,01:20,1351.6,1351.9,1351.4,1351.4,34,49
01/02/2015,01:30,1351.4,1351.6,1351.3,1351.6,30,17
01/02/2015,01:40,1351.7,1352.1,1351.6,1351.7,34,51
01/02/2015,01:50,1351.7,1351.7,1350.8,1351.6,69,121
01/02/2015,02:00,1351.6,1351.8,1351.4,1351.6,30,44
01/02/2015,02:10,1351.7,1351.9,1350.7,1351.1,105,169
01/02/2015,02:20,1351.2,1351.2,1349.3,1349.7,88,238
01/02/2015,02:30,1349.7,1350.4,1349.5,1350.1,130,68
01/02/2015,02:40,1350.1,1351.4,1349.7,1351.3,195,145
01/02/2015,02:50,1351.3,1351.3,1350.3,1350.3,57,242
