"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2014,18:15,5.958,5.979,5.958,5.973,226,81
01/01/2014,18:30,5.972,5.973,5.966,5.966,13,31
01/01/2014,18:45,5.969,5.970,5.962,5.966,35,58
01/01/2014,19:00,5.964,5.964,5.956,5.959,16,62
01/01/2014,19:15,5.960,5.960,5.957,5.957,2,10
01/01/2014,19:30,5.958,5.960,5.956,5.960,25,30
01/01/2014,19:45,5.962,5.962,5.959,5.961,16,2
01/01/2014,20:00,5.963,5.963,5.959,5.959,2,41
01/01/2014,20:15,5.960,5.962,5.958,5.962,18,7
01/01/2014,20:30,5.963,5.964,5.962,5.964,12,1
01/01/2014,20:45,5.965,5.965,5.963,5.965,6,4
01/01/2014,21:00,5.965,5.965,5.960,5.963,10,6
01/01/2014,21:15,5.963,5.965,5.963,5.965,15,1
01/01/2014,21:30,5.965,5.966,5.965,5.965,11,12
01/01/2014,21:45,5.965,5.968,5.965,5.968,26,1
01/01/2014,22:00,5.965,5.966,5.955,5.955,6,118
01/01/2014,22:15,5.955,5.956,5.943,5.946,32,96
01/01/2014,22:30,5.946,5.953,5.944,5.951,214,149
01/01/2014,22:45,5.953,5.953,5.943,5.947,24,39
01/01/2014,23:00,5.947,5.951,5.945,5.948,45,40
01/01/2014,23:15,5.951,5.952,5.939,5.941,31,137
01/01/2014,23:30,5.944,5.950,5.944,5.949,10,3
01/01/2014,23:45,5.950,5.962,5.948,5.961,121,67
01/02/2014,00:00,5.961,5.962,5.954,5.956,5,31
01/02/2014,00:15,5.955,5.961,5.955,5.960,12,7
01/02/2014,00:30,5.960,5.964,5.960,5.964,36,2
01/02/2014,00:45,5.964,5.972,5.964,5.966,48,17
01/02/2014,01:00,5.968,5.971,5.968,5.969,22,9
01/02/2014,01:15,5.969,5.973,5.961,5.973,54,34
01/02/2014,01:30,5.973,5.974,5.972,5.974,16,9
01/02/2014,01:45,5.973,5.974,5.969,5.969,1,16
01/02/2014,02:00,5.969,5.971,5.968,5.970,6,4
01/02/2014,02:15,5.971,5.971,5.963,5.967,13,17
01/02/2014,02:30,5.966,5.966,5.960,5.960,7,28
01/02/2014,02:45,5.961,5.965,5.961,5.965,18,8
01/02/2014,03:00,5.965,5.967,5.964,5.967,8,1
01/02/2014,03:15,5.970,5.974,5.969,5.973,73,134
01/02/2014,03:30,5.972,5.973,5.966,5.967,16,43
01/02/2014,03:45,5.965,5.973,5.961,5.973,31,24
01/02/2014,04:00,5.972,5.973,5.960,5.964,19,29
01/02/2014,04:15,5.962,5.965,5.960,5.965,18,24
01/02/2014,04:30,5.963,5.969,5.962,5.969,26,16
01/02/2014,04:45,5.970,5.972,5.968,5.969,32,48
01/02/2014,05:00,5.968,5.970,5.967,5.970,8,7
01/02/2014,05:15,5.970,5.973,5.967,5.968,58,26
01/02/2014,05:30,5.968,5.972,5.967,5.970,39,45
01/02/2014,05:45,5.970,5.972,5.967,5.972,22,40
01/02/2014,06:00,5.972,5.976,5.971,5.972,99,18
01/02/2014,06:15,5.974,5.982,5.974,5.982,239,44
01/02/2014,06:30,5.982,5.983,5.967,5.971,97,214
01/02/2014,06:45,5.972,5.981,5.972,5.979,53,37
01/02/2014,07:00,5.980,5.983,5.980,5.981,53,67
01/02/2014,07:15,5.981,5.982,5.976,5.979,48,63
01/02/2014,07:30,5.978,5.995,5.975,5.992,405,192
01/02/2014,07:45,5.992,6.001,5.989,5.992,272,427
01/02/2014,08:00,5.992,6.005,5.992,6.002,230,117
01/02/2014,08:15,6.000,6.015,5.999,6.013,720,363
01/02/2014,08:30,6.014,6.015,6.003,6.003,311,373
01/02/2014,08:45,6.004,6.019,6.001,6.019,706,406
01/02/2014,09:00,6.019,6.027,6.015,6.020,1254,690
01/02/2014,09:15,6.019,6.043,6.017,6.033,2742,2338
01/02/2014,09:30,6.033,6.037,6.024,6.030,812,946
01/02/2014,09:45,6.029,6.042,6.028,6.038,1450,1027
01/02/2014,10:00,6.038,6.057,6.038,6.045,1534,1160
01/02/2014,10:15,6.046,6.051,6.037,6.040,873,1134
01/02/2014,10:30,6.040,6.046,6.029,6.033,688,981
01/02/2014,10:45,6.033,6.043,6.032,6.043,826,405
01/02/2014,11:00,6.042,6.057,6.040,6.053,1239,1123
01/02/2014,11:15,6.053,6.057,6.047,6.048,1268,1406
01/02/2014,11:30,6.047,6.056,6.038,6.041,705,1040
01/02/2014,11:45,6.042,6.049,6.021,6.024,1744,2478
01/02/2014,12:00,6.025,6.036,6.017,6.030,612,685
01/02/2014,12:15,6.031,6.035,6.012,6.017,876,1113
01/02/2014,12:30,6.018,6.018,5.995,6.004,1603,1994
01/02/2014,12:45,6.005,6.024,6.002,6.021,1470,1087
01/02/2014,13:00,6.020,6.031,6.018,6.023,811,758
01/02/2014,13:15,6.024,6.032,6.020,6.032,532,460
01/02/2014,13:30,6.032,6.042,6.032,6.040,1253,711
01/02/2014,13:45,6.040,6.045,6.032,6.043,594,622
01/02/2014,14:00,6.042,6.049,6.040,6.042,495,468
01/02/2014,14:15,6.042,6.044,6.032,6.040,685,969
01/02/2014,14:30,6.040,6.049,6.037,6.047,2069,1810
01/02/2014,14:45,6.047,6.048,6.041,6.042,409,664
01/02/2014,15:00,6.042,6.047,6.042,6.046,133,68
01/02/2014,15:15,6.045,6.046,6.039,6.043,166,250
01/02/2014,15:30,6.044,6.044,6.039,6.042,122,138
01/02/2014,15:45,6.042,6.042,6.035,6.036,71,212
01/02/2014,16:00,6.036,6.037,6.027,6.029,162,188
01/02/2014,16:15,6.029,6.038,6.029,6.036,119,40
01/02/2014,16:30,6.036,6.036,6.030,6.031,19,43
01/02/2014,16:45,6.032,6.035,6.031,6.031,38,20
01/02/2014,17:00,6.033,6.036,6.022,6.028,102,149
01/02/2014,18:15,6.024,6.038,6.023,6.029,109,118
01/02/2014,18:30,6.027,6.030,6.025,6.025,49,41
01/02/2014,18:45,6.027,6.027,6.025,6.025,3,20
01/02/2014,19:00,6.024,6.024,6.013,6.022,45,53
01/02/2014,19:15,6.022,6.024,6.017,6.022,5,9
01/02/2014,19:30,6.023,6.028,6.023,6.025,18,1
01/02/2014,19:45,6.027,6.030,6.024,6.030,12,6
01/02/2014,20:00,6.029,6.030,6.027,6.030,6,6
01/02/2014,20:15,6.029,6.031,6.028,6.031,44,6
01/02/2014,20:30,6.031,6.035,6.031,6.035,21,6
01/02/2014,20:45,6.034,6.036,6.033,6.034,7,14
01/02/2014,21:00,6.035,6.036,6.025,6.025,29,73
01/02/2014,21:15,6.025,6.026,6.022,6.023,7,24
01/02/2014,21:30,6.025,6.032,6.020,6.032,48,53
01/02/2014,21:45,6.031,6.033,6.030,6.033,15,8
01/02/2014,22:00,6.033,6.034,6.033,6.034,4,0
01/02/2014,22:15,6.033,6.034,6.032,6.034,1,6
01/02/2014,22:30,6.031,6.031,6.025,6.025,3,40
01/02/2014,22:45,6.026,6.031,6.023,6.031,28,23
01/02/2014,23:00,6.031,6.032,6.031,6.032,3,0
01/02/2014,23:15,6.032,6.033,6.032,6.032,5,1
01/02/2014,23:30,6.033,6.034,6.029,6.034,8,15
01/02/2014,23:45,6.030,6.035,6.025,6.025,13,21
01/03/2014,00:00,6.024,6.025,6.022,6.022,9,65
01/03/2014,00:15,6.022,6.023,6.022,6.023,14,7
01/03/2014,00:30,6.022,6.023,6.022,6.023,5,27
01/03/2014,00:45,6.022,6.023,6.016,6.019,18,24
01/03/2014,01:00,6.016,6.017,6.003,6.003,11,109
01/03/2014,01:15,6.003,6.019,5.997,6.011,114,73
01/03/2014,01:30,6.010,6.019,6.006,6.019,40,20
01/03/2014,01:45,6.020,6.023,6.019,6.023,19,9
01/03/2014,02:00,6.022,6.022,6.021,6.022,1,8
01/03/2014,02:15,6.021,6.022,6.016,6.016,20,43
01/03/2014,02:30,6.019,6.020,6.017,6.017,10,2
01/03/2014,02:45,6.017,6.017,6.016,6.017,3,7
